N,C Ph,Ref,JBD,NoG CPh,NoG Rec ,NoG Reg,Quant mid,Quant pre,Aff pron,Aff conj,Aff prep,Po,Pr,Mult Rec ,Mult regs,Rec part Pas,Rec part pf,Rec part pm,Rec part sf,Rec  part sm,Reg part Pas,Reg part pf,Reg  pm,Reg  sf, Reg  sm,צורת הסמיכות,C Ph
1,בעבר הירדן ,Deu 1:1 ,,,,,,, ,,V,,V, ,,,,,,,,,,,,מקרא,
2,דרך הר שעיר,Deu 1:2 ,,,,,,,,,,,V,2,2,,,,,,,,,,,reg- regen-נסמך,
3,בני ישראל,Deu 1:3,,,,,,,,,,,V,,,,,,,,,,,,,sm- singular male- יחיד זכר,
4,מלך האמרי,Deu 1:4,,,,,,,,,,,V,,,,,,,,,,,,,sf- singular female- יחיד נקבה,
5,מלך הבשן,Deu 1:4,,,,,,,,,,,V,,,,,,,,,,,,,pm- plural male-רבים זכר,
6,בעבר הירדן ,Deu 1:5,,,,,,,,,,,V,,,,,,,,,,,,,pf- plural female-רבים נקבה,
7,בארץ מואב,Deu 1:5,,,,,,,,,V,,V,,,,,,,,,,,,,Pas- Passive -סביל,
8,הר האמרי ,Deu 1:7,,,,,,,,,,,V,,,,,,,,,,,,,rec-rectum-נסמך,
9,ובחוף הים,Deu 1:7,,,,,,,,V,V,,V,,,,,,,,,,,,,Mult- multiple- ריבוי (נסמך או סומך),
10,ארץ הכנעני,Deu 1:7,,,,,, ,,,,,V,,,,,,,,,,,,,Pr- prose - פרוזה,
11,נהר פרת,Deu 1:7,,,,,,,,,,,V,,,,,,,,,,,,,Po- Poem- שיר,
12,ככוכבי השמים,Deu 1:10,,,,,,,,,V,,V,,,,,,,,,,,,,Aff- Affix- מוספית,
13,אלוהי אבותכם,Deu 1:11,,, ,אלוהי,,,V,, ,,V,,,,,,,,,,,,,prep- preposition- מילת יחס,
14,ראשי שבטיכם,Deu 1:15,,,,,,,V,, ,,V,,,,,,,,,,,,,conj- conjunction-מילת חיבור,
15,שרי אלפים,Deu 1:15,,,,,,,,,,,V,,,,,,,,,,,,,Quant- Quantifier- כמת,
16,ושרי מאות,Deu 1:15,,,,,,,,V, ,,V,,,,,,,,,,,,,Ref- Reference- ציטוט,
17,ושרי חמשים,Deu 1:15,,,,,,,,V, ,,V,,,,,,,,,,,,,,
18,ושרי עשרת,Deu 1:15,,,,,,,,V, ,,V,,,,,,,,,,,,,pron- pronoun- כינוי שייכות חבור,
18,דרך הר האמרי,Deu 1:19,,,,,,  ,,,  ,,V,,2,,,,,,,,,,,NoG-Name of God- שם האל,
19,הר האמרי,Deu 1:20,,,,,,,,, V,,V,,,,,,,,,,,,,Pre -כמת המופיע לפני הצירוף,
20,אלהי אבתיך,Deu 1:21,,,,אלהי,,,V,, ,,V,,,,,,,,,,,,,Mid- כמת המופיע באמצע הצירוף,
21,נחל אשכל,Deu 1:24,,,,,,,,,,,V,,,,,,,,,,,,,JBD- Jonathan Ben Dov- צירופי סמיכות מסופקים שקבע אבג.,
22,מפרי הארץ,Deu 1:25,,,,,,,,,V,,V,,,,,,,,,,,,,,
23,פי יהוה,Deu 1:26,,,יהוה ,,,,,,,,V,,,,,,,,,,,,,,
24,בשנאת יהוה,Deu 1:27,,,יהוה,,,,,,V,,V,,,,,,,,,,,,,,
