N,C Ph,Ref,JBD,NoG CPh,NoG Rec ,NoG Reg,Quant mid,Quant pre,Aff pron,Aff conj,Aff prep,Po,Pr,Mult Rec ,Mult regs,Rec part Pas,Rec part pf,Rec part pm,Rec part sf,Rec  part sm,Reg part Pas,Reg part pf,Reg  pm,Reg  sf, Reg  sm,צורת הסמיכות,C Ph
1,בעבר הירדן ,Deu 1:1,,,,,,, ,,V,,V, ,,,,,,,,,,,,מקרא,
2,דרך הר שעיר,Deu 1:2,,,,,,,,,,,V,,2,,,,,,,,,,,reg- regen-נסמך,
3,בני ישראל,Deu 1:3,,,,,,,,,,,V,,,,,,,,,,,,,sm- singular male- יחיד זכר,
4,מלך האמרי,Deu 1:4,,,,,,,,,,,V,,,,,,,,,,,,,sf- singular female- יחיד נקבה,
5,מלך הבשן,Deu 1:4,,,,,,,,,,,V,,,,,,,,,,,,,pm- plural male-רבים זכר,
6,בעבר הירדן ,Deu 1:5,,,,,,,,,,,V,,,,,,,,,,,,,pf- plural female-רבים נקבה,
7,בארץ מואב,Deu 1:5,,,,,,,,,V,,V,,,,,,,,,,,,,Pas- Passive -סביל,
8,הר האמרי ,Deu 1:7,,,,,,,,,,,V,,,,,,,,,,,,,rec-rectum-נסמך,
9,ובחוף הים,Deu 1:7,,,,,,,,V,V,,V,,,,,,,,,,,,,Mult- multiple- ריבוי (נסמך או סומך),
10,ארץ הכנעני,Deu 1:7,,,,,, ,,,,,V,,,,,,,,,,,,,Pr- prose - פרוזה,
11,נהר פרת,Deu 1:7,,,,,,,,,,,V,,,,,,,,,,,,,Po- Poem- שיר,
12,ככוכבי השמים,Deu 1:10,,,,,,,,,V,,V,,,,,,,,,,,,,Aff- Affix- מוספית,
13,אלוהי אבותכם,Deu 1:11,,, ,אלוהי,,,V,, ,,V,,,,,,,,,,,,,prep- preposition- מילת יחס,
14,ראשי שבטיכם,Deu 1:15,,,,,,,V,, ,,V,,,,,,,,,,,,,conj- conjunction-מילת חיבור,
15,שרי אלפים,Deu 1:15,,,,,,,,,,,V,,,,,,,,,,,,,Quant- Quantifier- כמת,
16,ושרי מאות,Deu 1:15,,,,,,,,V, ,,V,,,,,,,,,,,,,Ref- Reference- ציטוט,
17,ושרי חמשים,Deu 1:15,,,,,,,,V, ,,V,,,,,,,,,,,,,,
18,ושרי עשרת,Deu 1:15,,,,,,,,V, ,,V,,,,,,,,,,,,,pron- pronoun- כינוי שייכות חבור,
18,דרך הר האמרי,Deu 1:19,,,,,,  ,,,  ,,V,,2,,,,,,,,,,,NoG-Name of God- שם האל,
19,הר האמרי,Deu 1:20,,,,,,,,, V,,V,,,,,,,,,,,,,Pre -כמת המופיע לפני הצירוף,
20,אלהי אבתיך,Deu 1:21,,,,אלהי,,,V,, ,,V,,,,,,,,,,,,,Mid- כמת המופיע באמצע הצירוף,
21,נחל אשכל,Deu 1:24,,,,,,,,,,,V,,,,,,,,,,,,,JBD- Jonathan Ben Dov- צירופי סמיכות מסופקים שקבע אבג.,
22,מפרי הארץ,Deu 1:25,,,,,,,,,V,,V,,,,,,,,,,,,,,
23,פי יהוה,Deu 1:26,,,יהוה ,,,,,,,,V,,,,,,,,,,,,,,
24,בשנאת יהוה,Deu 1:27,,,יהוה,,,,,,V,,V,,,,,,,,,,,,,,
25,מארץ מצרים,Deu 1:27,,,,,,,,,V,,V,,,,,,,,,,,,,,
26,ביד האמרי,Deu 1:27,,,,,,,,,V,,,,,,,,,,,,,,,,
27,בני ענקים,Deu 1:28,,,,,,  ,,,,,V,,,,,,,,,,,,,,
28,קול דבריכם,Deu 1:34,,,,,,,V,, ,,V,,,,,,,,,,,,,,
29,דרך ים סוף,Deu 1:40,,,,,,,,,,,V,,2,,,,,,,,,,,,
30,כלי מלחמתו,Deu 1:41,,,,,,,V,, ,,V,,,,,,,,,,,,,,
31,דרך ים סוף,Deu 2:1,,,,,,,,,,,V,,2,,,,,,,,,,,,
32,הר שעיר,Deu 2:1,,,,,,,,,,,V,,,,,,,,,,,,,,
33,בגבול אחיכם,Deu 2:4,,,,,,,V,, ,,V,,,,,,,,,,,,,,
34,בני עשו,Deu 2:4,,,,,,,,,,,V,,,,,,,,,,,,,,
35,מדרך כף רגל,Deu 2:5,,,,,,,,,,,V,,2,,,,,,,,,,,,
36,הר שעיר,Deu 2:5,,,,,,,,,,,V,,,,,,,,,,,,,,
37,בכל מעשה ידך,Deu 2:7,,,,,,V,V,,V,,V,,,,,,,,,,,,,,
38,מדרך הערבה,Deu 2:8,,,,,,,,,V,,V,,,,,,,,,,,,,,
39,בני עשו,Deu 2:8,,,,,,,,,,,V,,,,,,,,,,,,,,
40,דרך מדבר מואב,Deu 2:8,,,,,,,,,,,V,,2,,,,,,,,,,,,
41,לבני לוט,Deu 2:9,,,,,,,,,V,,V,,,,,,,,,,,,,,
42,ובני עשו,Deu 2:12,,,,,,,,V, ,,V,,,,,,,,,,,,,,
43,לארץ ירשתו,Deu 2:12,,,,,,,V,,V,,V,,,,,,,,,,,,,,
44,נחל זרד,Deu 2:13,,,,,,,,,,,V,,,,,,,,,,,,,,
45,נחל זרד,Deu 2:13,,,,,,,,,,,V,,,,,,,,,,,,,,
46,נחל זרד,Deu 2:14,,,,,,,,,,,V,,,,,,,,,,,,,,
46,כל אנשי המלחמה,Deu 2:14,,,,,,V,,,,,V,,,,,,,,,,,,,,
47,יד יהוה,Deu 2:15,,,יהוה,,,,,,,,V,,,,,,,,,,,,,,
48,כל אנשי המלחמה,Deu 2:16,,,,,,V,,,,,V,,,,,,,,,,,,,,
49,גבול מואב,Deu 2:18,,,,,,,,,,,,,,,,,,,,,,,,,
50,בני עמון,Deu 2:19,,,,,,,,,,,V,,,,,,,,,,,,,,
51,מארץ בני עמון,Deu 2:19,,,,,,,,,V,,V,,2,,,,,,,,,,,,
52,לבני לוט,Deu 2:19,,,,,,,,,V,,V,,,,,,,,,,,,,,
53,ארץ רפאים,Deu 2:20,,,,,,,,,,,,,,,,,,,,,,,,,
54,לבני עשו,Deu 2:22,,,,,,,,,V,,V,,,,,,,,,,,,,,
55,נחל ארנן,Deu 2:24,,,,,,,,,,,V,,,,,,,,,,,,,,
56,מלך חשבון,Deu 2:24,,,,,,,,,,,V,,,,,,,,,,,,,,
55,ממדבר קדמות,Deu 2:26,,,,,,,,,V,,V,,,,,,,,,,,,,,
56,מלך חשבון,Deu 2:26,,,,,,,,,,,V,,,,,,,,,,,,,,
57,דברי שלום,Deu 2:26,,,,,,,,,,,V,,,,,,,,,,,,,,
58,בני עשו,Deu 2:29,,,,,,,,,,,V,,,,,,,,,,,,,,
59,מלך חשבון,Deu 2:30,,,,,,,,,,,V,,,,,,,,,,,,,,
60,ושלל הערים,Deu 2:35,,,,,,,,,,,,,,,,,,,,,,,,,
61,שפת נחל ארנן,Deu 2:36,,,,,,,,,,,V,,2,,,,,,,,,,,,
62,ארץ בני עמון,Deu 2:37,,,,,,,,,,,V,,2,,,,,,,,,,,,
63,כל יד נחל יבק,Deu 2:37,,,,,,V,,,,,V,,2,,,,,,,,,,,,
64,וערי ההר,Deu 2:37,,,,,,,,V, ,,V,,,,,,,,,,,,,,
65,דרך הבשן,Deu 3:1,,,,,,,,,,,V,,,,,,,,,,,,,,
66,מלך הבשן,Deu 3:1,,,,,,,,,,,V,,,,,,,,,,,,,,
68,מלך האמרי,Deu 3:2,,,,,,,,,,,V,,,,,,,,,,,,,,
69,מלך הבשן,Deu 3:3,,,,,,,,,,,V,,,,,,,,,,,,,,
70,כל חבל ארגב,Deu 3:4,,,,,,V,,,,,V,,,,,,,,,,,,,,
71,ממלכת עוג,Deu 3:4,,,,,,,,,,,V,,,,,,,,,,,,,,
72,מערי הפרזי,Deu 3:5,,,,,,,,,V,,V,,,,,,,,,,,,,,
73,מלך חשבון,Deu 3:6,,,,,,,,,,,V,,,,,,,,,,,,,,
