book,sentence_path,text_lex,text,n_words_lex,n_words,construct to absolute nouns ratio,construct nouns and adjectives percentage,noun to verb ratio,definite_article_percentage,direct object marker percentage,pronouns bound to nouns or verbs percentage,"persuasive verb forms (imperative, jussive, cohorative) percentage",preterite percentage,ky percentage,aCr percentage,oM percentage,kya percentage,all conjunctions percentage,non-finite to finite verbs ratio,passive verb forms percentage,total word count,bib,section,composition,genre
CD,CD:1:1-1:12,שמע כל ידע צדק בין מעשה אל ריב ל כל בשר משפט עשה כל נאץ מועל עזב סתר פנה ישראל מקדש נתן חרב זכר ברית ראשון שאר שארית ישראל נתן כלה קץ חרון שנה שלש מאה תשעים נתן את יד נבוכדנאצר מלך בבל פקד צמח ישראל אהרן שרש מטעת ירש ארץ דשן טוב אדמה בין עון ידע איש אשם הם היה עור גשש דרך שנה עשרים בין אל מעשה לב שלם דרש קום ל מורה צדק דרך דרך לב ידע דור אחרון עשה דור אחרון עדה בגד ,ועתה שמעו כל יודעי צדק ובינו במעשי אל כי ריב לו עם כל בשר ומשפט יעשה בכל מנאציו כי במועלם אשר עזבוהו הסתיר פניו מישראל וממקדשו ויתנם לחרב ובזכרו ברית ראשנים השאיר שאירית לישראל ולא נתנם לכלה ובקץ חרון שנים שלוש מאות ותשעים לתיתו אותם ביד נבוכדנאצר מלך בבל פקדם ויצמח מישראל ומאהרן שורש מטעת לירוש את ארצו ולדשן בטוב אדמתו ויבינו בעונם וידעו כי אנשים אשימים הם ויהיו כעורים וכימגששים דרך שנים עשרים ויבן אל אל מעשיהם כי בלב שלם דרשוהו ויקם להם מורה צדק להדריכם בדרך לבו ויודע לדורות אחרונים את אשר עשה בדור אחרון בעדת בוגדים ,88,99,0.6842105263157895,-1.0,2.111111111111111,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.38461538461538464,-1.0,0.0,nonbib,sectarian_texts,CD,CD
CD,CD:1:12-2:1,דור אחרון עשה דור אחרון עדה בגד הם סור דרך היא עת היה כתב על פרה סרר סרר ישראל עמד איש לצון נטף ישראל מים כזב תעה תהו דרך שחח גבהות עולם סור נתיבה צדק נסע גבול גבל ראשון נחלה דבק ב אלה ברית סגר חרב נקם נקם ברית עבור דרש חלק בחר מהתלה צפה פרץ בחר טוב צואר צדק רשע רשע צדיק עבר ברית פרר חק גדד נפש צדיק כל הלך תמים תעב נפש רדף חרב שוש ריב עם חרה אף אל עדה שמם כל המון מעשה נדה פנה ,לדורות אחרונים את אשר עשה בדור אחרון בעדת בוגדים הם סרי דרך היא העת אשר היה כתוב עליה כפרה סורירה כן סרר ישראל בעמוד איש הלצון אשר הטיף לישראל מימי כזב ויתעם בתוהו לא דרך להשח גבהות עולם ולסור מנתיבות צדק ולסיע גבול אשר גבלו ראשנים בנחלתם למען הדבק בהם את אלות בריתו להסגירם לחרב נקמת נקם ברית בעבור אשר דרשו בחלקות ויבחרו במהתלות ויצפו לפרצות ויבחרו בטוב הצואר ויצדיקו רשע וירשיעו צדיק ויעבירו ברית ויפירו חוק ויגודו על נפש צדיק ובכל הולכי תמים תעבה נפשם וירדפום לחרב ויסיסו לריב עם ויחר אף אל בעדתם להשם את כל המונם ומעשיהם לנדה לפניו ,91,102,0.5416666666666666,-1.0,1.3448275862068966,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.7058823529411765,-1.0,0.0,nonbib,sectarian_texts,CD,CD
CD,CD:2:1-2:11,אל עדה שמם כל המון מעשה נדה פנה שמע אל כל בוא ברית גלה אזן דרך רשע אל אהב דעת חכמה תושיה נצב פנה ערמה דעת הם שרת ארך אף עם רב סליחה כפר שוב פשע כח גבורה חמה גדול להב אש יד כל מלאך חבל סרר דרך תעב חק שארית פליטה ל בחר אל ב קדם עולם יסד ידע מעשה תעב דור דם סתר פנה ארץ תמם ידע שנה מעמד מספר פרוש קץ כל הוה עולם היה מה בוא קץ כל שנה עולם כל קום ל קריא שם יתר פליטה ארץ מלא ,אל בעדתם להשם את כל המונם ומעשיהם לנדה לפניו ועתה שמעו אלי כל באי ברית ואגלה אזנכם בדרכי רשעים אל אהב דעת חכמה ותושייה הציב לפניו ערמה ודעת הם ישרתוהו ארך אפים עמו ורוב סליחות לכפר בעד שבי פשע וכוח וגבורה וחמה גדולה בלהבי אש בידי כל מלאכי חבל על סררי דרך ומתעבי חק לאין שאירית ופליטה למו כי לא בחר אל בהם מקדם עולם ובטרם נוסדו ידע את מעשיהם ויתעב את דורות מדם ויסתר את פניו מן הארץ מיעד תומם וידע את שני מעמד ומספר ופרוש קציהם לכל הוי עולמים ונהיית עד מה יבוא בקציהם לכל שני עולם ובכולם הקים לו קריאי שם למען התיר פליטה לארץ ולמלא ,94,109,0.46875,-1.0,2.1363636363636362,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,0.0,nonbib,sectarian_texts,CD,CD
CD,CD:2:11-2:21,כל קום ל קריא שם יתר פליטה ארץ מלא פנה תבל זרע ידע יד משיח רוח קדש חזה אמת פרוש שם שם שנא תעה בן שמע ל גלה עין ראה בין מעשה אל בחר רצה מאס שנא הלך תמים כל דרך תור מחשבה יצר אשמה עין זנות רב תעה ב גבור חיל כשל ב פנה הלך שררות לב נפל עד עיר שמים ב אחז שמר מצוה אל בן רום ארז גבה הר גויה נפל כל בשר היה חרבה גוע היה היה עשה רצון שמר מצוה עשה חרה אף ב ,ובכולם הקים לו קריאי שם למען התיר פליטה לארץ ולמלא פני תבל מזרעם ויודיעם ביד משיחוי רוח קדשו וחוזי אמת ובפרוש שמו שמותיהם ואת אשר שנא התעה ועתה בנים שמעו לי ואגלה עיניכם לראות ולהבין במעשי אל ולבחור את אשר רצה ולמאוס כאשר שנא להתהלך תמים בכל דרכיו ולא לתור במחשבות יצר אשמה ועני זנות כי רבים תעו בם וגבורי חיל נכשלו בם מלפנים ועד הנה בלכתם בשרירות לבם נפלו עידי עירי השמים בה נאחזו אשר לא שמרו מצות אל ובניהם אשר כרום ארזים גבהם וכהרים גויותיהם כי נפלו כל בשר אשר היה בחרבה כי גוע ויהיו כלא היו בעשותם את רצונם ולא שמרו את מצות עשיהם עד אשר חרה אפו בם ,90,112,1.1176470588235294,-1.0,1.3333333333333333,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.42105263157894735,-1.0,0.0,nonbib,sectarian_texts,CD,CD
CD,CD:2:21-3:10,רצון שמר מצוה עשה חרה אף ב ב תעה בן נח משפחה ב הם כרת אברהם הלך ב עלה אהב שמר מצוה אל בחר רצון רוח מסר ישחק יעקב שמר כתב אהב אל בעל ברית עולם בן יעקב תעה ב ענש פנה משגה בן מצרים הלך שררות לב יעץ מצוה אל עשה איש ישר עין אכל דם כרת זכור מדבר ל קדש עלה ירש רוח שמע קול עשה מצוה ירה רגן אהל חרה אף אל עדה בן ב אבד מלך ב כרת גבור ב אבד ארץ ב שמם ב חוב בוא ברית ראשון סגר ,רצונם ולא שמרו את מצות עשיהם עד אשר חרה אפו בם בה תעיו בני נח ומשפחותיהם בה הם נכרתים אברהם לא הלך בה ויעל אוהב בשמרו מצות אל ולא בחר ברצון רוחו וימסור לישחק וליעקב וישמרו ויכתבו אוהבים לאל ובעלי ברית לעולם בני יעקב תעו בם ויענשו לפני משגותם ובניהם במצרים הלכו בשרירות לבם להיעץ על מצות אל ולעשות איש הישר בעיניו ויאכלו את הדם ויכרת זכורם במדבר להם בקדש עלו ורשו את רוחם ולא שמעו לקול עשיהם מצות יוריהם וירגנו באהליהם ויחר אף אל בעדתם ובניהם בו אבדו ומלכיהם בו נכרתו וגיבוריהם בו אבדו וארצם בו שממה בו הבו באי הברית הראשנים ויסגרו ,95,104,1.2,-1.0,0.9354838709677419,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.24,-1.0,0.0,nonbib,sectarian_texts,CD,CD
CD,CD:3:10-3:20,אבד ארץ ב שמם ב חוב בוא ברית ראשון סגר חרב עזב ברית אל בחר רצון תור שררות לב עשה איש רצון חזק מצוה אל יתר מן קום אל ברית ישראל עולם גלה ל סתר תעה ב כל ישראל שבת קדש מועד כבוד עדות צדק דרך אמת חפץ רצון עשה אדם חיה ב פתח פנה חפר באר מים רב מאס חיה הם גלל פשע אנוש דרך נדה אמר ל היא אל רז פלא כפר עון נשא פשע בנה ל בית אמן ישראל עמד כמו פנה חזק ב חיים נצח כל כבוד אדם ל הוא ,אבדו וארצם בו שממה בו הבו באי הברית הראשנים ויסגרו לחרב בעזבם את ברית אל ויבחרו ברצונם ויתורו אחרי שרירות לבם לעשות איש את רצונו ובמחזיקים במצות אל אשר נותרו מהם הקים אל את בריתו לישראל עד עולם לגלות להם נסתרות אשר תעו בם כל ישראל שבתות קדשו ומועדי כבודו עידות צדקו ודרכי אמתו וחפצי רצונו אשר יעשה האדם וחיה בהם פתח לפניהם ויחפרו באר למים רבים ומואסיהם לא יחיה והם התגוללו בפשע אנוש ובדרכי נדה ויאמרו כי לנו היא ואל ברזי פלאו כפר בעד עונם וישא לפשעם ויבן להם בית נאמן בישראל אשר לא עמד כמהו למלפנים ועד הנה המחזיקים בו לחיי נצח וכל כבוד אדם להם הוא כאשר ,95,110,0.9375,-1.0,1.2962962962962963,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.35,-1.0,0.0,nonbib,sectarian_texts,CD,CD
CD,CD:3:20-4:9,חזק ב חיים נצח כל כבוד אדם ל הוא קום אל ל יד יחזקאל נביא אמר כהן לוי בן צדוק שמר משמרת מקדש תעה בן ישראל על הם נגש ל חלב דם כהן הם שוב ישראל יצא ארץ יהודה לוה עם בן צדוק הם בחיר ישראל קריא שם עמד אחרית יום פרוש שם תולדות קץ מעמד מספר צרה שנה גור פרוש מעשה קדש שנה כפר אל בעד צדק צדיק רשע רשע כל בוא אחרי עשה פרוש תורה יסר ב ראשון שלם קץ שנה אלה ברית קום אל ראשון כפר , המחזיקים בו לחיי נצח וכל כבוד אדם להם הוא כאשר הקים אל להם ביד יחזקאל הנביא לאמר הכהנים והלוים ובני צדוק אשר שמרו את משמרת מקדשי בתעות בני ישראל מעלי הם יגישו לי חלב ודם הכהנים הם שבי ישראל היוצאים מארץ יהודה והנלוים עמהם ובני צדוק הם בחירי ישראל קריאי השם העמדים באחרית הימים הנה פרוש שמותיהם לתולדותם וקץ מעמדם ומספר צרותיהם ושני התגוררם ופירוש מעשיהם הקודש שונים אשר כפר אל בעדם ויצדיקו צדיק וירשיעו רשע וכל הבאים אחריהם לעשות כפרוש התורה אשר התוסרו בו הראשנים עד שלים הקץ השנים האלה כברית אשר הקים אל לראשנים לכפר ,90,97,1.0588235294117647,-1.0,2.15,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.5,-1.0,0.0,nonbib,sectarian_texts,CD,CD
CD,CD:4:9-4:18,קץ שנה אלה ברית קום אל ראשון כפר עון כפר אל בעד שלם קץ מספר שנה אלה ספח בית יהודה עמד איש מצוד בנה גדר רחק חק כל שנה אלה היה בליעל שלח ישראל דבר אל יד ישעיהו נביא בן אמוץ אמר פחד פחת פח על ישב ארץ פשר שלש מצודה בליעל אמר על לוי בן יעקב הוא תפש ב ישראל נתן פנה שלש מין צדק ראשון היא זנות שני הון שלישי טמא מקדש עלה זה תפש זה נצל זה תפש ,קץ השנים האלה כברית אשר הקים אל לראשנים לכפר על עונותיהם כן יכפר אל בעדם ובשלום הקץ למספר השנים האלה אין עוד להשתפח לבית יהודה כי אם לעמוד איש על מצודו נבנתה הגדר רחק החוק ובכל השנים האלה יהיה בליעל משולח בישראל כאשר דבר אל ביד ישעיה הנביא בן אמוץ לאמר פחד ופחת ופח עליך יושב הארץ פשרו שלושת מצודות בליעל אשר אמר עליהם לוי בן יעקב אשר הוא תפש בהם בישראל ויתנם פניהם לשלושת מיני הצדק הראשונה היא הזנות השנית ההון השלישית טמא המקדש העולה מזה יתפש בזה והניצל מזה יתפש ,82,92,0.38095238095238093,-1.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.9,-1.0,0.0,nonbib,sectarian_texts,CD,CD
CD,CD:4:18-5:5,מקדש עלה זה תפש זה נצל זה תפש זה בנה חיץ הלך צו צו הוא נטף אמר נטף נטף הם תפש שנים זנות לקח שנים אשה חיים יסוד בריאה זכר נקבה ברא את בוא תבה שנים שנים בוא תבה נשיא כתב רבה ל אשה דוד קרא ספר תורה חתם היה ארון פ פתח ישראל יום מות אלעזר יהושע יהושע זקן עבד עשתרת טמן גלה עמד צדוק עלה מעשה דוד בד דם אוריה ,מקדש העולה מזה יתפש בזה והניצל מזה יתפש בזה בוני החיץ אשר הלכו אחרי צו הצו הוא מטיף אשר אמר הטף יטיפון הם ניתפשים בשתים בזנות לקחת שתי נשים בחייהם ויסוד הבריאה זכר ונקבה ברא אותם ובאי התבה שנים שנים באו אל התבה ועל הנשיא כתוב לא ירבה לו נשים ודויד לא קרא בספר התורה החתום אשר היה בארון כי לא נפ נפתח בישראל מיום מות אלעזר ויהושע ויושוע והזקנים אשר עבדו את העשתרת ויטמון נגלה עד עמוד צדוק ויעלו מעשי דויד מלבד דם אוריה ,73,85,0.4666666666666667,-1.0,1.1923076923076923,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,0.0,nonbib,sectarian_texts,CD,CD
CD,CD:5:5-5:14,גלה עמד צדוק עלה מעשה דוד בד דם אוריה עזב ל אל טמא הם מקדש הם בדל תורה שכב ראה דם זוב לקח איש בת אח בת אחות משה אמר אחות אם קרב שאר אם היא משפט עריה זכר הוא כתב כ אשה גלה בת אח ערוה אח אב היא שאר רוח קדש טמא לשון גדוף פתח פה חק ברית אל אמר כון תועבה הם דבר ב כל קדח אש בער זיקה קור עכביש קור ביצה צפעני ביצה קרוב אל ,נגלה עד עמוד צדוק ויעלו מעשי דויד מלבד דם אוריה ויעזבם לו אל וגם מטמאים הם את המקדש אשר אין הם מבדיל כתורה ושוכבים עם הרואה את דם זובה ולוקחים איש את בת אחיהו ואת בת אחותו ומשה אמר אל אחות אמך לא תקרב שאר אמך היא ומשפט העריות לזכרים הוא כתוב וכהם הנשים ואם תגלה בת האח את ערות אחי אביה והיא שאר וגם את רוח קדשיהם טמאו ובלשון גדופים פתחו פה על חוקי ברית אל לאמר לא נכונו ותועבה הם מדברים בם כלם קדחי אש ומבערי זיקות קורי עכביש קוריהם וביצי צפעונים ביציהם הקרוב אליהם ,81,97,1.0588235294117647,-1.0,2.0526315789473686,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.375,-1.0,0.0,nonbib,sectarian_texts,CD,CD
