node_name,degree
רֶבֵע,11
ןֵּדְרַי,10
ךֶרֶּד,3
רַה,47
ריִעֵש,3
ןֵּב,144
לֵאָרְשִי,53
ְךֶלֶמ,61
יִרִמֱא,1
ןָשָּב,13
ץֶרֶא,133
בָאֹומ,8
יִרֹמֱא,10
ףֹוח,1
םָי,22
יִנְעַנְּכ,2
רָהָנ,5
תָרְּפ,2
בָכֹוּכ,4
םִיַמָׁש,1
םיִהֹלֱא,96
בָא,34
שאֹר,34
טֶבֶש,15
רַש,7
ףֶלֶא,6
הָאֵמ,3
םיִּשִמֲח,1
ְךֶרֶּד,72
יִרֹמֶא,1
לַחַנ,11
לֹּכְשֶא,1
יִרְּפ,4
הֶּפ,48
הָוֹהְי,228
הָאְנִש,3
םִיַרְצִמ,31
דָי,86
ןֵּב,3
קָנֲע,3
לֹוק,50
רָבָּד,68
ףּוס,5
יִלְּכ,6
הָמָחְלִמ,5
לּובְּג,14
חָא,11
וָשֵע,5
ְךָרְדִמ,2
ףַּכ,17
לֶגֶר,9
הֶשֲעַמ,27
הָבָרֲע,5
רָּבְדִמ,7
טֹול,3
הָּשֻרְי,3
דֶרֶז,2
שיִא,88
ןֹוּמַע,4
ןִוּמַע,1
םיִאָפְר,4
תֹומֵדְק,1
ןֹוּבְשֶח,4
םֹולָש,10
לָלְש,1
ריִע,40
הָפָש,43
ןֹונְרַא,4
קֹבָי,1
לֶבֶח,10
בֹּגְרַא,3
הָכָלְמַמ,7
גֹוע,3
יִזָרְּפ,1
לָלָש,2
ןֹומְרֶח,3
רֹושימ,2
רֶתֶי,4
שֶרֶע,3
לֵזְרַּב,7
הָּמַא,3
דָעְלִּג,2
הֶּשַנְמ,2
יִרּושְּג,1
הָּוַח,1
ריִאָי,1
חַלֶמ,2
הָדֵשֲא,2
הָּגְסִּפ,4
לִיַח,9
תִיַּב,39
רֹועְּפ,1
הָוְצִמ,16
ןִיַע,46
םַע,35
םֹוי,66
םיִּיַח,19
בֵל,76
םִיַמָש,27
הָנּומְּת,2
לֶמֶס,1
תיִנְבַּת,8
רָכָז,1
הָבֵקְנ,1
הָמֵהְּב,10
רֹוּפִצ,4
ףָנָּכ,15
שֶמֶר,1
הָגָּד,1
אָבָצ,5
רּוּכ,1
הָלֲחַנ,7
תיִרְּב,18
הָנּומְּת,1
לֹּכ,5
םיִתְמ,2
רָּפְסִמ,3
םָדָא,56
תיִרֲחא,1
הֶצָק,18
רֹושיִמ,3
לָאָרְשִי,1
ןֹוחיִס,1
גִֹוע,1
חָרְזִמ,3
שֶמֶש,5
תִיָּב,26
םיִדָבֲע,1
לֶסֶּפ,1
ןֹוָע,6
רֵמֹש,6
םֵש,47
תָּבַש,2
יִעיִבְש,1
דֵע,17
אְוָש,2
הָּשִא,28
ַעֵר,16
ַחּול,11
ןֶבֶא,12
םיִּיַח,15
בָז,12
בָלָח,14
שָבְּד,9
הָזּוזְמ,3
דֶבֶע,22
ףַא,27
הָלֻּגְס,1
הָבֲהַא,1
העְרָּפ,1
ןֶטֶּב,16
יִרְּפ,32
הָמָדֲא,10
רֶגֶש,4
תֶרֶּתְשַע,4
ןאֹצ,18
הֶוְדַמ,2
הָיָח,1
הֶדָש,10
ליִסָּפ,2
הָבֵעֹוּת,26
אָצֹומ,6
םִיַמ,23
הָּטִח,4
הָרָעְש,3
ןֶפֶּג,2
הָנֵאְּת,1
ןֹוּמִר,1
תִיַז,2
ןֶמֶש,5
םֶצֹע,1
הָעְשִר,2
יֹוג,5
רָשָי,19
בָבֵל,14
הֶשָק,3
ףֶרֹע,2
עַּבְצֶא,2
לֵהְקַה,3
ץֵק,5
םיִעָּבְרַא,1
םוי,1
לֶגֵע,2
הָכֵּסַמ,1
ןֹורֲא,8
ץֵע,12
הָּטִש,1
לחנ,1
םימ,2
יִוֵל,5
הָלְרָע,1
ןֹודָא,6
טָּפְשִמ,26
םֹותָי,5
הָנָמְלַא,5
רָסּומ,13
בָאיִלֱא,1
ןֵבּואְר,1
ןַּג,1
קֶרֶי,2
רָטָמ,4
תיִשאֵר,17
הָנָש,16
תיִרֲחַא,4
םיִּזִרְּג,2
לָביֵע,3
אֹובָמ,2
ןֹולָא,1
הֶרֹמ,1
הָמּורְּת,4
רֹוכְּב,12
רָקָּב,6
חָלְשִמ,6
רָחְבִמ,1
רֶדֶנ,2
הָּוַא,4
שֶפֶנ,42
הָכָרְּב,12
רֵשֲעַמ,9
ןָגָּד,5
