property,prose,poem
total_words,1,1
construct_count,1411,2864
percent,1411.0,2864.0
unique_regen,401,844
total_regen,1411,2864
unique_rectum,433,767
total_rectum,1553,2999
NoGCPh,11.0,16.0
NoGRec,123.0,233.0
NoGReg,12.0,25.0
Quantmid,30.0,15.0
Quantpre,165.0,136.0
Affpron,269.0,588.0
Affconj,221.0,508.0
Affprep,553.0,970.0
RecpartPas,20.0,20.0
Recpartpf,1.0,5.0
Recpartpm,6.0,32.0
Recpartsf,5.0,6.0
Recpartsm,26.0,30.0
RegpartPas,8.0,27.0
Regpartpf,1.0,2.0
Regpm,29.0,170.0
Regsf,9.0,7.0
Regsm,17.0,49.0
