property,bible,scrolls
total_words,43025,16470
construct_count,2770,1527
percent,0.06438117373619988,0.09271402550091075
regen,794,444
rectum,757,408
NoGCPh,0.00016269610691458454,0.0
NoGRec,0.007181871005229518,0.00315725561627201
NoGReg,0.00044160371876815805,0.0
Quantmid,0.0006275421266705404,0.0009714632665452338
Quantpre,0.0035095874491574666,0.009289617486338797
Affpron,0.013038930854154562,0.0172434729811779
Affconj,0.008506682161533993,0.021675774134790528
Affprep,0.019500290528762346,0.0416514875531269
RecpartPas,0.00020918070889018012,0.0013964784456587736
Recpartpf,0.00011621150493898897,6.071645415907711e-05
Recpartpm,0.0005113306217315514,0.0007285974499089253
Recpartsf,0.00013945380592678675,0.00036429872495446266
Recpartsm,0.00044160371876815805,0.001700060716454159
RegpartPas,0.0005345729227193493,0.0006071645415907711
Regpartpf,0.0,0.00012143290831815422
Regpm,0.003021499128413713,0.0040680024286581665
Regsf,0.0003486345148169669,6.071645415907711e-05
Regsm,0.001324811156304474,0.000546448087431694
