property,prose,poem
count,1412,2865
regen,403,846
rectum,440,767
NoGCPh,0.000708215297450425,0.0020942408376963353
NoGRec,0.08852691218130311,0.08237347294938918
NoGReg,0.0035410764872521247,0.004886561954624782
Quantmid,0.019830028328611898,0.005235602094240838
Quantpre,0.11968838526912182,0.04712041884816754
Affpron,0.1813031161473088,0.20523560209424083
Affconj,0.1536827195467422,0.17556719022687609
Affprep,0.3888101983002833,0.3382198952879581
RecpartPas,0.0113314447592068,0.005584642233856894
Recpartpf,0.000708215297450425,0.0017452006980802793
Recpartpm,0.00424929178470255,0.009773123909249564
Recpartsf,0.00424929178470255,0.0020942408376963353
Recpartsm,0.015580736543909348,0.008726003490401396
RegpartPas,0.00424929178470255,0.009424083769633508
Regpartpf,0.0,0.0006980802792321117
Regpm,0.019830028328611898,0.05898778359511344
Regsf,0.006373937677053824,0.002443280977312391
Regsm,0.012039660056657223,0.017102966841186736
