model,accuracy,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,vectorizer
KNeighborsClassifier,0.7785016286644951,0.7785016286644951,0.7785016286644951,0.7785016286644951,0.726012312127067,0.6487441275252909,0.6547473598796866,0.7728839907298424,0.7785016286644951,0.7542534984497954,tfidf
LinearSVC,0.7719869706840391,0.7719869706840391,0.7719869706840391,0.771986970684039,0.6308266575529332,0.5456639109582323,0.5542910771517056,0.7360705782025249,0.7719869706840391,0.7272989348593952,tfidf
LogisticRegression,0.7687296416938111,0.7687296416938111,0.7687296416938111,0.768729641693811,0.5468418933807949,0.5383709188626086,0.5293439196874806,0.719982718281472,0.7687296416938111,0.7349776621728988,dicta-il/MsBERT
MLPClassifier,0.7687296416938111,0.7687296416938111,0.7687296416938111,0.768729641693811,0.5558445788983589,0.5581771567921152,0.538710001126403,0.732790026762732,0.7687296416938111,0.7406176250333155,dicta-il/MsBERT
LinearSVC,0.7687296416938111,0.7687296416938111,0.7687296416938111,0.768729641693811,0.6638389481163385,0.6247882357716152,0.623129993990941,0.7605011141964978,0.7687296416938111,0.7561579795207594,dicta-il/BEREL
MLPClassifier,0.7687296416938111,0.7687296416938111,0.7687296416938111,0.768729641693811,0.6070816766193486,0.5628234765388505,0.5663544063809132,0.748251252756137,0.7687296416938111,0.7476605470798736,dicta-il/BEREL
LinearSVC,0.7654723127035831,0.7654723127035831,0.7654723127035831,0.7654723127035831,0.6336447834358051,0.5962851587470701,0.5966594447289925,0.7561792830235061,0.7654723127035831,0.7497468623256199,yonatanlou/alephbert-base-finetuned-DSS-maskedLM
MLPClassifier,0.7654723127035831,0.7654723127035831,0.7654723127035831,0.7654723127035831,0.6337513311667448,0.6060601571404897,0.6022613750989786,0.7513949328165244,0.7654723127035831,0.7460680134659593,dicta-il/dictabert
MLPClassifier,0.762214983713355,0.762214983713355,0.762214983713355,0.7622149837133552,0.5724358281867356,0.5510954300393358,0.5472987598955092,0.7321583442329257,0.762214983713355,0.7387849795686546,yonatanlou/BEREL-finetuned-DSS-maskedLM
LinearSVC,0.762214983713355,0.762214983713355,0.762214983713355,0.7622149837133552,0.5976332434501815,0.5682650452041034,0.5672121802241591,0.7226369265789746,0.762214983713355,0.7305818662636758,trigram
MLPClassifier,0.758957654723127,0.758957654723127,0.758957654723127,0.758957654723127,0.5551397280601673,0.5147880920249343,0.5182617238593591,0.7061623198889247,0.758957654723127,0.7178493728589571,trigram
LogisticRegression,0.758957654723127,0.758957654723127,0.758957654723127,0.758957654723127,0.6173059029585404,0.5377141487321543,0.5489423655024448,0.7295096932794098,0.758957654723127,0.7267542157370362,trigram
LinearSVC,0.758957654723127,0.758957654723127,0.758957654723127,0.758957654723127,0.6348414451046032,0.6259184567356312,0.6089449339144152,0.7479224503328739,0.758957654723127,0.7407479550024967,dicta-il/dictabert
LinearSVC,0.755700325732899,0.755700325732899,0.755700325732899,0.7557003257328991,0.616400850611377,0.6109666541522497,0.6029310940146854,0.7377978246870754,0.755700325732899,0.7403646925978791,yonatanlou/BEREL-finetuned-DSS-maskedLM
LinearSVC,0.752442996742671,0.752442996742671,0.752442996742671,0.752442996742671,0.6884017925658793,0.6146032380208281,0.6262285955597955,0.7492775937736658,0.752442996742671,0.737714015501899,yonatanlou/dictabert-finetuned-DSS-maskedLM
LogisticRegression,0.752442996742671,0.752442996742671,0.752442996742671,0.752442996742671,0.5910686874155701,0.5388841325648803,0.5449356476352847,0.7245967652783597,0.752442996742671,0.7271621276872317,dicta-il/BEREL
LinearSVC,0.752442996742671,0.752442996742671,0.752442996742671,0.752442996742671,0.6254949311767187,0.5971678141034097,0.5850991819482124,0.7505450125608909,0.752442996742671,0.7364334909851797,onlplab/alephbert-base
LogisticRegression,0.752442996742671,0.752442996742671,0.752442996742671,0.752442996742671,0.5489688355130865,0.5142979961712648,0.5134852497313196,0.7146598796564769,0.752442996742671,0.7223443796418154,yonatanlou/BEREL-finetuned-DSS-maskedLM
LogisticRegression,0.752442996742671,0.752442996742671,0.752442996742671,0.752442996742671,0.5963411926140121,0.5538069997869166,0.5510150098495433,0.7269196069274197,0.752442996742671,0.7237073792355485,dicta-il/dictabert
LinearSVC,0.749185667752443,0.749185667752443,0.749185667752443,0.7491856677524429,0.6438495536176704,0.5951146760288035,0.602658500878416,0.7351010289935506,0.749185667752443,0.7327627436180818,dicta-il/MsBERT
MLPClassifier,0.745928338762215,0.745928338762215,0.745928338762215,0.7459283387622151,0.5996638360595127,0.5545054057207796,0.5513730575234903,0.723265003119005,0.745928338762215,0.7201080068020919,yonatanlou/dictabert-finetuned-DSS-maskedLM
LogisticRegression,0.745928338762215,0.745928338762215,0.745928338762215,0.7459283387622151,0.5566225849314086,0.4868035388741759,0.4870336084853477,0.7211966537220417,0.745928338762215,0.7117872301497272,yonatanlou/dictabert-finetuned-DSS-maskedLM
MLPClassifier,0.745928338762215,0.745928338762215,0.745928338762215,0.7459283387622151,0.5553530834490588,0.5333437591955598,0.5295610508646924,0.719640316890748,0.745928338762215,0.7226392705557938,onlplab/alephbert-base
MLPClassifier,0.742671009771987,0.742671009771987,0.742671009771987,0.742671009771987,0.5649132601144986,0.47079638198059254,0.47738806539866413,0.6999284406594236,0.742671009771987,0.6915250485283617,tfidf
LogisticRegression,0.742671009771987,0.742671009771987,0.742671009771987,0.742671009771987,0.5445630952821605,0.5071600306434101,0.5075457689692527,0.6938526456398499,0.742671009771987,0.7060461479114343,onlplab/alephbert-base
LogisticRegression,0.742671009771987,0.742671009771987,0.742671009771987,0.742671009771987,0.5443837820676055,0.5036012221850171,0.5048610081288458,0.702244889778421,0.742671009771987,0.709001077499227,yonatanlou/alephbert-base-finetuned-DSS-maskedLM
MLPClassifier,0.7328990228013029,0.7328990228013029,0.7328990228013029,0.7328990228013029,0.5772330056246843,0.5188858279301493,0.5262371865721965,0.7129021284603223,0.7328990228013029,0.7091056076275338,yonatanlou/alephbert-base-finetuned-DSS-maskedLM
KNeighborsClassifier,0.7231270358306189,0.7231270358306189,0.7231270358306189,0.7231270358306189,0.5234084186981135,0.4974835071822607,0.49171905744806255,0.7015355110556709,0.7231270358306189,0.7013052081636096,onlplab/alephbert-base
KNeighborsClassifier,0.7003257328990228,0.7003257328990228,0.7003257328990228,0.7003257328990228,0.4678834063049106,0.462554365840377,0.45318741997825296,0.6652296950459952,0.7003257328990228,0.6738335047396896,yonatanlou/BEREL-finetuned-DSS-maskedLM
KNeighborsClassifier,0.6970684039087948,0.6970684039087948,0.6970684039087948,0.6970684039087948,0.46645281427359125,0.4447844603073135,0.4419779583409702,0.672188082827797,0.6970684039087948,0.6738417213020058,dicta-il/BEREL
KNeighborsClassifier,0.6970684039087948,0.6970684039087948,0.6970684039087948,0.6970684039087948,0.5180155631753376,0.46921724013136756,0.4688016384778128,0.6752693134382293,0.6970684039087948,0.6709619388034468,dicta-il/MsBERT
KNeighborsClassifier,0.6807817589576547,0.6807817589576547,0.6807817589576547,0.6807817589576547,0.47034236513460886,0.4434837726908364,0.43698318808527725,0.6523077104493186,0.6807817589576547,0.6498831112885401,dicta-il/dictabert
KNeighborsClassifier,0.6775244299674267,0.6775244299674267,0.6775244299674267,0.6775244299674267,0.5048002444564902,0.466105141396,0.4592297235447484,0.6667369159161273,0.6775244299674267,0.6545815382646073,yonatanlou/alephbert-base-finetuned-DSS-maskedLM
KNeighborsClassifier,0.6579804560260586,0.6579804560260586,0.6579804560260586,0.6579804560260586,0.483215687820951,0.43364234219151115,0.4307291273713746,0.6490126955925002,0.6579804560260586,0.6340138203909081,yonatanlou/dictabert-finetuned-DSS-maskedLM
LogisticRegression,0.5309446254071661,0.5309446254071661,0.5309446254071661,0.5309446254071661,0.26235652905797047,0.2295902331740282,0.2240797715361334,0.5044960685341828,0.5309446254071661,0.4578878542378105,tfidf
KNeighborsClassifier,0.48859934853420195,0.48859934853420195,0.48859934853420195,0.48859934853420195,0.4746428667994202,0.3280808887941852,0.34973119602612135,0.6642630330908341,0.48859934853420195,0.527161991214325,trigram
MLPClassifier,0.3583061889250814,0.3583061889250814,0.3583061889250814,0.35830618892508137,0.18375386348396436,0.17960730097849212,0.16689516452922665,0.33502509352119025,0.3583061889250814,0.31614642180289704,starr
LogisticRegression,0.30618892508143325,0.30618892508143325,0.30618892508143325,0.30618892508143325,0.11931838431838432,0.13548770712205616,0.12210918428534502,0.23529022991563708,0.30618892508143325,0.2540179317975739,starr
KNeighborsClassifier,0.247557003257329,0.247557003257329,0.247557003257329,0.247557003257329,0.1467836347723566,0.1369316509898227,0.13373988088339964,0.251793580064869,0.247557003257329,0.23674569275431495,starr
