,silhouette,jaccard,dasgupta,vectorizer_type
7,0.03744352568745626,0.17671095092410208,0.8513329696388925,tfidf
2,0.07876699417829514,0.1856922861542769,0.8329717065057758,dicta-il/dictabert
4,0.08615000545978546,0.2087206162417214,0.8325264405899913,yonatanlou/BEREL-finetuned-DSS-maskedLM
0,0.07453538477420807,0.19682620936780137,0.8317539081407765,dicta-il/BEREL
3,0.09006662666797638,0.17814539725410758,0.829089247206928,dicta-il/MsBERT
1,0.07140582799911499,0.15871630023546843,0.827902654365793,onlplab/alephbert-base
5,0.08548865467309952,0.17502085183092528,0.8151595040058132,yonatanlou/alephbert-base-finetuned-DSS-maskedLM
6,0.07986725121736526,0.1663092167775214,0.8136552635382457,yonatanlou/dictabert-finetuned-DSS-maskedLM
8,0.014188911925600067,0.19411866373669787,0.7693745133270095,trigram
9,0.41211366456473764,0.06468882201578786,0.4929554236980197,starr
