model,accuracy,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,vectorizer
KNeighborsClassifier,0.9838709677419355,0.9838709677419355,0.9838709677419355,0.9838709677419355,0.9910714285714286,0.9285714285714286,0.957033957033957,0.9841589861751151,0.9838709677419355,0.9833232736458541,tfidf
MLPClassifier,0.978494623655914,0.978494623655914,0.978494623655914,0.978494623655914,0.9647021745981721,0.9255411255411254,0.9439759036144578,0.9781218547624614,0.978494623655914,0.978021764477264,yonatanlou/dictabert-finetuned-DSS-maskedLM
KNeighborsClassifier,0.9731182795698925,0.9731182795698925,0.9731182795698925,0.9731182795698925,0.9852941176470589,0.8809523809523809,0.9249697458652681,0.9739089184060722,0.9731182795698925,0.9715025569623548,dicta-il/BEREL
MLPClassifier,0.9731182795698925,0.9731182795698925,0.9731182795698925,0.9731182795698925,0.9603174603174602,0.9017316017316017,0.9283899283899284,0.9726062467997951,0.9731182795698925,0.972205456076424,yonatanlou/alephbert-base-finetuned-DSS-maskedLM
LogisticRegression,0.9731182795698925,0.9731182795698925,0.9731182795698925,0.9731182795698925,0.9603174603174602,0.9017316017316017,0.9283899283899284,0.9726062467997951,0.9731182795698925,0.972205456076424,yonatanlou/alephbert-base-finetuned-DSS-maskedLM
MLPClassifier,0.9731182795698925,0.9731182795698925,0.9731182795698925,0.9731182795698925,0.9603174603174602,0.9017316017316017,0.9283899283899284,0.9726062467997951,0.9731182795698925,0.972205456076424,onlplab/alephbert-base
KNeighborsClassifier,0.9731182795698925,0.9731182795698925,0.9731182795698925,0.9731182795698925,0.9852941176470589,0.8809523809523809,0.9249697458652681,0.9739089184060722,0.9731182795698925,0.9715025569623548,yonatanlou/BEREL-finetuned-DSS-maskedLM
LinearSVC,0.9731182795698925,0.9731182795698925,0.9731182795698925,0.9731182795698925,0.9603174603174602,0.9017316017316017,0.9283899283899284,0.9726062467997951,0.9731182795698925,0.972205456076424,yonatanlou/alephbert-base-finetuned-DSS-maskedLM
LinearSVC,0.9731182795698925,0.9731182795698925,0.9731182795698925,0.9731182795698925,0.9603174603174602,0.9017316017316017,0.9283899283899284,0.9726062467997951,0.9731182795698925,0.972205456076424,yonatanlou/dictabert-finetuned-DSS-maskedLM
LogisticRegression,0.967741935483871,0.967741935483871,0.967741935483871,0.967741935483871,0.9557953358858335,0.8779220779220779,0.9120705956508037,0.9671131670839742,0.967741935483871,0.966237304677572,onlplab/alephbert-base
MLPClassifier,0.967741935483871,0.967741935483871,0.967741935483871,0.967741935483871,0.9194805194805195,0.9194805194805195,0.9194805194805195,0.967741935483871,0.967741935483871,0.967741935483871,yonatanlou/BEREL-finetuned-DSS-maskedLM
MLPClassifier,0.967741935483871,0.967741935483871,0.967741935483871,0.967741935483871,0.9557953358858335,0.8779220779220779,0.9120705956508037,0.9671131670839742,0.967741935483871,0.966237304677572,dicta-il/dictabert
MLPClassifier,0.967741935483871,0.967741935483871,0.967741935483871,0.967741935483871,0.9353923731484399,0.8987012987012988,0.9159638554216868,0.9668676229883187,0.967741935483871,0.9670326467158958,dicta-il/BEREL
KNeighborsClassifier,0.967741935483871,0.967741935483871,0.967741935483871,0.967741935483871,0.9824561403508771,0.8571428571428572,0.9077380952380952,0.9688737973967176,0.967741935483871,0.9653417818740401,dicta-il/dictabert
KNeighborsClassifier,0.967741935483871,0.967741935483871,0.967741935483871,0.967741935483871,0.9824561403508771,0.8571428571428572,0.9077380952380952,0.9688737973967176,0.967741935483871,0.9653417818740401,onlplab/alephbert-base
LogisticRegression,0.967741935483871,0.967741935483871,0.967741935483871,0.967741935483871,0.9353923731484399,0.8987012987012988,0.9159638554216868,0.9668676229883187,0.967741935483871,0.9670326467158958,dicta-il/BEREL
LogisticRegression,0.967741935483871,0.967741935483871,0.967741935483871,0.967741935483871,0.9557953358858335,0.8779220779220779,0.9120705956508037,0.9671131670839742,0.967741935483871,0.966237304677572,dicta-il/dictabert
LinearSVC,0.967741935483871,0.967741935483871,0.967741935483871,0.967741935483871,0.9557953358858335,0.8779220779220779,0.9120705956508037,0.9671131670839742,0.967741935483871,0.966237304677572,onlplab/alephbert-base
LogisticRegression,0.967741935483871,0.967741935483871,0.967741935483871,0.967741935483871,0.9353923731484399,0.8987012987012988,0.9159638554216868,0.9668676229883187,0.967741935483871,0.9670326467158958,yonatanlou/BEREL-finetuned-DSS-maskedLM
LogisticRegression,0.967741935483871,0.967741935483871,0.967741935483871,0.967741935483871,0.9557953358858335,0.8779220779220779,0.9120705956508037,0.9671131670839742,0.967741935483871,0.966237304677572,yonatanlou/dictabert-finetuned-DSS-maskedLM
LinearSVC,0.9623655913978495,0.9623655913978495,0.9623655913978495,0.9623655913978495,0.9295634920634921,0.8748917748917748,0.8997458997458998,0.9610535074244752,0.9623655913978495,0.9610876385069933,trigram
LogisticRegression,0.9623655913978495,0.9623655913978495,0.9623655913978495,0.9623655913978495,0.9796511627906976,0.8333333333333333,0.8896142433234422,0.9638972243060766,0.9623655913978495,0.9589930123480426,trigram
LinearSVC,0.9623655913978495,0.9623655913978495,0.9623655913978495,0.9623655913978495,0.8814903846153846,0.958008658008658,0.9147626841243861,0.9684010545905708,0.9623655913978495,0.9640779261918588,yonatanlou/BEREL-finetuned-DSS-maskedLM
LinearSVC,0.9623655913978495,0.9623655913978495,0.9623655913978495,0.9623655913978495,0.9511029411764707,0.854112554112554,0.8949576442113756,0.9616342504743833,0.9623655913978495,0.9601035797472968,dicta-il/dictabert
KNeighborsClassifier,0.9623655913978495,0.9623655913978495,0.9623655913978495,0.9623655913978495,0.9796511627906976,0.8333333333333333,0.8896142433234422,0.9638972243060766,0.9623655913978495,0.9589930123480426,yonatanlou/alephbert-base-finetuned-DSS-maskedLM
LinearSVC,0.9623655913978495,0.9623655913978495,0.9623655913978495,0.9623655913978495,0.8896604938271604,0.9372294372294372,0.9115188583078491,0.965526682596575,0.9623655913978495,0.9634474367827429,dicta-il/BEREL
MLPClassifier,0.9623655913978495,0.9623655913978495,0.9623655913978495,0.9623655913978495,0.9511029411764707,0.854112554112554,0.8949576442113756,0.9616342504743833,0.9623655913978495,0.9601035797472968,trigram
KNeighborsClassifier,0.956989247311828,0.956989247311828,0.956989247311828,0.956989247311828,0.976878612716763,0.8095238095238095,0.8705186216498434,0.9589781838523216,0.956989247311828,0.9524381617506709,yonatanlou/dictabert-finetuned-DSS-maskedLM
MLPClassifier,0.946236559139785,0.946236559139785,0.946236559139785,0.946236559139785,0.9714285714285714,0.7619047619047619,0.8290441176470589,0.9493087557603686,0.946236559139785,0.9386266603415561,tfidf
LinearSVC,0.9301075268817204,0.9301075268817204,0.9301075268817204,0.9301075268817204,0.9634831460674158,0.6904761904761905,0.7569116316477329,0.935212033345415,0.9301075268817204,0.9157664654929188,tfidf
KNeighborsClassifier,0.9247311827956989,0.9247311827956989,0.9247311827956989,0.9247311827956989,0.8748051948051948,0.7082251082251082,0.7606617647058824,0.9186426476749058,0.9247311827956989,0.9140773244781785,trigram
LogisticRegression,0.8924731182795699,0.8924731182795699,0.8924731182795699,0.8924731182795699,0.7502762430939227,0.5653679653679654,0.5864828812805691,0.8666191409730886,0.8924731182795699,0.8618740945796698,starr
LogisticRegression,0.8870967741935484,0.8870967741935484,0.8870967741935484,0.8870967741935484,0.4435483870967742,0.5,0.4700854700854701,0.7869406867845994,0.8870967741935484,0.8340226082161567,tfidf
LinearSVC,0.8870967741935484,0.8870967741935484,0.8870967741935484,0.8870967741935484,0.6978021978021978,0.5415584415584416,0.5497406340057637,0.8509393831974478,0.8870967741935484,0.8514753183973227,starr
MLPClassifier,0.8763440860215054,0.8763440860215054,0.8763440860215054,0.8763440860215054,0.636938202247191,0.5562770562770563,0.569920579069066,0.8397290685030807,0.8763440860215054,0.8509714389490103,starr
KNeighborsClassifier,0.8709677419354839,0.8709677419354839,0.8709677419354839,0.8709677419354839,0.615819209039548,0.5532467532467532,0.5649122807017545,0.8345179515217788,0.8709677419354839,0.8474250141482739,starr
