model,accuracy,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,vectorizer
MLPClassifier,0.8386871508379888,0.8386871508379888,0.8386871508379888,0.8386871508379888,0.8259446860788143,0.7439681523313986,0.7694321646703925,0.8389003348044677,0.8386871508379888,0.8359741352517154,dicta-il/MsBERT
LogisticRegression,0.8365921787709497,0.8365921787709497,0.8365921787709497,0.8365921787709497,0.8262830229731009,0.7042883214434212,0.7387993112464709,0.8387491564345216,0.8365921787709497,0.8322407053696576,dicta-il/MsBERT
LinearSVC,0.8358938547486033,0.8358938547486033,0.8358938547486033,0.8358938547486033,0.827073372182797,0.7055691894626105,0.7412509804122899,0.8350151660908218,0.8358938547486033,0.8285427447782134,tfidf
MLPClassifier,0.8247206703910615,0.8247206703910615,0.8247206703910615,0.8247206703910615,0.7323476286606471,0.6112729815424506,0.6394577064428082,0.8198216912199167,0.8247206703910615,0.809620733959287,tfidf
LinearSVC,0.8184357541899442,0.8184357541899442,0.8184357541899442,0.8184357541899442,0.768644261680815,0.7228443728502109,0.7351445135631341,0.8174823570281542,0.8184357541899442,0.814660351947106,dicta-il/MsBERT
MLPClassifier,0.8009776536312849,0.8009776536312849,0.8009776536312849,0.8009776536312849,0.8041802559831029,0.6602535985550275,0.6981835734811247,0.7990989535924051,0.8009776536312849,0.7918347276109404,trigram
KNeighborsClassifier,0.7884078212290503,0.7884078212290503,0.7884078212290503,0.7884078212290503,0.7315310430396638,0.621758494476005,0.645796345605962,0.7886448540868715,0.7884078212290503,0.7793557401930831,dicta-il/MsBERT
LogisticRegression,0.7758379888268156,0.7758379888268156,0.7758379888268156,0.7758379888268156,0.7770264388233458,0.6319819056945252,0.6720884767628257,0.7770251814511376,0.7758379888268156,0.7692805322555984,trigram
KNeighborsClassifier,0.7723463687150838,0.7723463687150838,0.7723463687150838,0.7723463687150838,0.7596370136242333,0.6845503137206108,0.7089786838679699,0.7803051422588442,0.7723463687150838,0.7686176134041993,tfidf
LinearSVC,0.7660614525139665,0.7660614525139665,0.7660614525139665,0.7660614525139665,0.7639205726382284,0.6503110443029897,0.6856909991930913,0.764590431189096,0.7660614525139665,0.7604926419385963,trigram
LogisticRegression,0.7660614525139665,0.7660614525139665,0.7660614525139665,0.7660614525139665,0.6751225403760996,0.6166135415344288,0.6302002403188561,0.7589894830125057,0.7660614525139665,0.7569792181110969,dicta-il/BEREL
MLPClassifier,0.7625698324022346,0.7625698324022346,0.7625698324022346,0.7625698324022346,0.698824005000593,0.6296334017796061,0.6472966767623238,0.7582330106143989,0.7625698324022346,0.7557915476945063,dicta-il/BEREL
KNeighborsClassifier,0.7541899441340782,0.7541899441340782,0.7541899441340782,0.7541899441340782,0.6737743752866087,0.6033954314213392,0.6191971762440662,0.7584323531678494,0.7541899441340782,0.745804781492659,dicta-il/BEREL
LogisticRegression,0.7339385474860335,0.7339385474860335,0.7339385474860335,0.7339385474860335,0.6143301767360213,0.575554322689334,0.5875445311656889,0.7202397668410739,0.7339385474860335,0.7227120218487021,dicta-il/dictabert
LinearSVC,0.7255586592178771,0.7255586592178771,0.7255586592178771,0.7255586592178771,0.6448443621484422,0.6197266328864073,0.6215480520387281,0.7225821494922847,0.7255586592178771,0.7209867877678052,dicta-il/BEREL
LinearSVC,0.7241620111731844,0.7241620111731844,0.7241620111731844,0.7241620111731844,0.6141874705075351,0.590285726660564,0.5972728980605546,0.7199178756771784,0.7241620111731844,0.7192518349983876,dicta-il/dictabert
MLPClassifier,0.7206703910614525,0.7206703910614525,0.7206703910614525,0.7206703910614526,0.6330956023912093,0.575570793605151,0.5914703675526636,0.7165059866781318,0.7206703910614525,0.7139244323103389,dicta-il/dictabert
LogisticRegression,0.7087988826815642,0.7087988826815642,0.7087988826815642,0.7087988826815642,0.45146043508167405,0.41195188607155786,0.4111149757673326,0.6795685737780804,0.7087988826815642,0.6724393403066725,tfidf
KNeighborsClassifier,0.7018156424581006,0.7018156424581006,0.7018156424581006,0.7018156424581006,0.6533466093454442,0.5696739796112676,0.5919625181423211,0.7031231497113851,0.7018156424581006,0.6928092630803776,dicta-il/dictabert
LogisticRegression,0.6955307262569832,0.6955307262569832,0.6955307262569832,0.6955307262569832,0.6367405744749747,0.5217772668391856,0.5506762302309786,0.6907345585119393,0.6955307262569832,0.683619798764251,onlplab/alephbert-base
LinearSVC,0.6857541899441341,0.6857541899441341,0.6857541899441341,0.6857541899441341,0.6051124027132367,0.5787116673355209,0.58465357485708,0.6814602308026686,0.6857541899441341,0.6794382349297771,onlplab/alephbert-base
MLPClassifier,0.672486033519553,0.672486033519553,0.672486033519553,0.672486033519553,0.6196024363030935,0.5402978814004591,0.563768840782156,0.6700888234775321,0.672486033519553,0.6644146218500165,onlplab/alephbert-base
KNeighborsClassifier,0.6431564245810056,0.6431564245810056,0.6431564245810056,0.6431564245810056,0.6706279288694024,0.49714484617288646,0.5308805864866569,0.6591079984016172,0.6431564245810056,0.6327109219068614,onlplab/alephbert-base
KNeighborsClassifier,0.3770949720670391,0.3770949720670391,0.3770949720670391,0.3770949720670391,0.4907082396010087,0.2668812166565934,0.296663528751116,0.6425997922335648,0.3770949720670391,0.41406530728642427,trigram
