model,accuracy,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,vectorizer
LinearSVC,0.6435331230283912,0.6435331230283912,0.6435331230283912,0.6435331230283912,0.5063930588388793,0.4704003041164332,0.46491409058647093,0.5745817904059352,0.6435331230283912,0.5817291941684307,tfidf
KNeighborsClassifier,0.6277602523659306,0.6277602523659306,0.6277602523659306,0.6277602523659306,0.43393995276753905,0.4290308759341017,0.40876321236350976,0.5511510589559104,0.6277602523659306,0.5609521588950529,tfidf
MLPClassifier,0.6277602523659306,0.6277602523659306,0.6277602523659306,0.6277602523659306,0.4938931106732964,0.4549603934894258,0.45184078276802436,0.5926693790431814,0.6277602523659306,0.5890757785482164,dicta-il/MsBERT
LinearSVC,0.6246056782334385,0.6246056782334385,0.6246056782334385,0.6246056782334385,0.48086432729910994,0.44722485065710865,0.4434774861783479,0.5737053552065209,0.6246056782334385,0.5773723060172583,trigram
MLPClassifier,0.6182965299684543,0.6182965299684543,0.6182965299684543,0.6182965299684543,0.44484307615158675,0.42095701096991417,0.41129122869909845,0.5617673370584639,0.6182965299684543,0.5699370620707426,onlplab/alephbert-base
LinearSVC,0.6182965299684543,0.6182965299684543,0.6182965299684543,0.6182965299684543,0.48575770233664967,0.44814345606603667,0.44785804776925686,0.5746921313416415,0.6182965299684543,0.5794049161613773,yonatanlou/alephbert-base-finetuned-DSS-maskedLM
LinearSVC,0.6151419558359621,0.6151419558359621,0.6151419558359621,0.6151419558359621,0.4951928420163714,0.4428123384381449,0.44667921528895743,0.588681941344773,0.6151419558359621,0.5820175472468226,onlplab/alephbert-base
LogisticRegression,0.6151419558359621,0.6151419558359621,0.6151419558359621,0.6151419558359621,0.46948117924632743,0.42962850005430653,0.4271506813101016,0.5584376246571375,0.6151419558359621,0.5621637044384267,trigram
MLPClassifier,0.61198738170347,0.61198738170347,0.61198738170347,0.61198738170347,0.3982212506087086,0.40230246551536875,0.3879584772525949,0.5288079847628175,0.61198738170347,0.5552789708384439,yonatanlou/alephbert-base-finetuned-DSS-maskedLM
LinearSVC,0.61198738170347,0.61198738170347,0.61198738170347,0.61198738170347,0.5155616847019286,0.4796665465955789,0.4790945451714727,0.5957348358407256,0.61198738170347,0.587842995923718,dicta-il/MsBERT
LogisticRegression,0.6088328075709779,0.6088328075709779,0.6088328075709779,0.6088328075709779,0.43154104928495174,0.4212428307654114,0.40875302125194596,0.5354812246604583,0.6088328075709779,0.5525188838086976,dicta-il/MsBERT
MLPClassifier,0.6056782334384858,0.6056782334384858,0.6056782334384858,0.6056782334384858,0.41502324103485094,0.4104114695340501,0.393234612547342,0.5278388421690201,0.6056782334384858,0.5425093499043068,trigram
LogisticRegression,0.6056782334384858,0.6056782334384858,0.6056782334384858,0.6056782334384858,0.3818737731137111,0.36677653958944284,0.35297622612388835,0.5246394175227033,0.6056782334384858,0.5405588303914339,yonatanlou/alephbert-base-finetuned-DSS-maskedLM
LinearSVC,0.6056782334384858,0.6056782334384858,0.6056782334384858,0.6056782334384858,0.48826463514698804,0.45550607862865916,0.44852069833009467,0.5711516257396755,0.6056782334384858,0.5685088417339365,yonatanlou/dictabert-finetuned-DSS-maskedLM
LogisticRegression,0.6025236593059937,0.6025236593059937,0.6025236593059937,0.6025236593059937,0.38266139965566076,0.37616499868112774,0.3614908785884396,0.5227739037985972,0.6025236593059937,0.5402878075648715,onlplab/alephbert-base
