model,accuracy,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,vectorizer
LinearSVC,0.6717791411042945,0.6717791411042945,0.6717791411042945,0.6717791411042945,0.5159463581704372,0.46797248122248125,0.46539737989831365,0.6140112432205481,0.6717791411042945,0.6140174435048572,tfidf
LinearSVC,0.6411042944785276,0.6411042944785276,0.6411042944785276,0.6411042944785276,0.5243172468277657,0.4760482110482111,0.4769321380374012,0.6037781923880583,0.6411042944785276,0.6015893454301591,trigram
LinearSVC,0.6411042944785276,0.6411042944785276,0.6411042944785276,0.6411042944785276,0.5099996463231756,0.48873414548414557,0.48170773620773616,0.6027519810675711,0.6411042944785276,0.6065054625637448,dicta-il/MsBERT
MLPClassifier,0.6380368098159509,0.6380368098159509,0.6380368098159509,0.6380368098159509,0.47578133195780264,0.45907721907721916,0.44777184704415673,0.5842185552127811,0.6380368098159509,0.5928824484433178,dicta-il/MsBERT
LogisticRegression,0.6380368098159509,0.6380368098159509,0.6380368098159509,0.6380368098159509,0.5158279818065532,0.4456836404336404,0.4528664055688908,0.594270510991589,0.6380368098159509,0.5875581580912672,trigram
KNeighborsClassifier,0.6288343558282209,0.6288343558282209,0.6288343558282209,0.6288343558282209,0.40708933911626827,0.4127995430495431,0.3908198506996461,0.5411125256582955,0.6288343558282209,0.5615295890447696,tfidf
LogisticRegression,0.6288343558282209,0.6288343558282209,0.6288343558282209,0.6288343558282209,0.46318319635703203,0.4283365985865985,0.4238998058141424,0.5655760969200679,0.6288343558282209,0.5763059795225227,dicta-il/MsBERT
MLPClassifier,0.6288343558282209,0.6288343558282209,0.6288343558282209,0.6288343558282209,0.5272768744850251,0.4472448477448477,0.4590212982755898,0.5862069714154605,0.6288343558282209,0.5731308669222202,tfidf
LinearSVC,0.6288343558282209,0.6288343558282209,0.6288343558282209,0.6288343558282209,0.4903999518999519,0.47148236023236023,0.45513399841399366,0.5848826233412123,0.6288343558282209,0.584125597587656,dicta-il/BEREL
LinearSVC,0.6257668711656442,0.6257668711656442,0.6257668711656442,0.6257668711656442,0.49364899680802554,0.4640550653050654,0.4622012894684206,0.5891748549184262,0.6257668711656442,0.5922773529572934,yonatanlou/alephbert-base-finetuned-DSS-maskedLM
LinearSVC,0.6226993865030674,0.6226993865030674,0.6226993865030674,0.6226993865030674,0.5058819056187477,0.47086646686646694,0.4653121825304381,0.5887004964862569,0.6226993865030674,0.5860262990364784,yonatanlou/dictabert-finetuned-DSS-maskedLM
MLPClassifier,0.6226993865030674,0.6226993865030674,0.6226993865030674,0.6226993865030674,0.40385011502658563,0.39780083805083805,0.3851592857789884,0.5485816155655564,0.6226993865030674,0.5694631376360343,yonatanlou/BEREL-finetuned-DSS-maskedLM
LogisticRegression,0.6226993865030674,0.6226993865030674,0.6226993865030674,0.6226993865030674,0.41147530978203245,0.4003391515891516,0.3887597017162968,0.5360554910968636,0.6226993865030674,0.5599695952529659,onlplab/alephbert-base
MLPClassifier,0.6196319018404908,0.6196319018404908,0.6196319018404908,0.6196319018404908,0.42870989858509867,0.40466379916379913,0.3950325790462635,0.542702608602295,0.6196319018404908,0.5534203604683112,trigram
MLPClassifier,0.6165644171779141,0.6165644171779141,0.6165644171779141,0.6165644171779141,0.42511825097806805,0.41356623006623,0.4026531074983378,0.5478409741950383,0.6165644171779141,0.5663893655239128,onlplab/alephbert-base
LogisticRegression,0.6165644171779141,0.6165644171779141,0.6165644171779141,0.6165644171779141,0.44556084656084655,0.3952554575054575,0.39533668655579624,0.5504759470250268,0.6165644171779141,0.5590433294775945,yonatanlou/BEREL-finetuned-DSS-maskedLM
LogisticRegression,0.6134969325153374,0.6134969325153374,0.6134969325153374,0.6134969325153374,0.4092613530260589,0.3806196211196211,0.37440799400495667,0.533984441517823,0.6134969325153374,0.5506455658391065,dicta-il/BEREL
LinearSVC,0.6134969325153374,0.6134969325153374,0.6134969325153374,0.6134969325153374,0.4951076945929887,0.4538897213897214,0.45628414167653847,0.5927830627510347,0.6134969325153374,0.5884618193281453,onlplab/alephbert-base
