model,accuracy,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,vectorizer
LinearSVC,0.7770700636942676,0.7770700636942676,0.7770700636942676,0.7770700636942676,0.7135994764159784,0.5834293265214318,0.6168774494625888,0.7539770348594369,0.7770700636942676,0.7462724597606577,tfidf
MLPClassifier,0.7707006369426752,0.7707006369426752,0.7707006369426752,0.7707006369426752,0.6072888419679711,0.5608783502772929,0.5611490685721376,0.7409094698480073,0.7707006369426752,0.7435818112651856,dicta-il/BEREL
MLPClassifier,0.767515923566879,0.767515923566879,0.767515923566879,0.7675159235668791,0.5789177440940667,0.5540714814091613,0.5533274016906184,0.7246315662155945,0.767515923566879,0.7371444258020283,yonatanlou/BEREL-finetuned-DSS-maskedLM
LogisticRegression,0.767515923566879,0.767515923566879,0.767515923566879,0.7675159235668791,0.5651463181220774,0.5311766922861613,0.5324280285964237,0.7229067246285226,0.767515923566879,0.7344427208332033,yonatanlou/BEREL-finetuned-DSS-maskedLM
LinearSVC,0.767515923566879,0.767515923566879,0.767515923566879,0.7675159235668791,0.6473721360664886,0.6186021992293528,0.617398837855666,0.7588812063822076,0.767515923566879,0.755110010860713,yonatanlou/alephbert-base-finetuned-DSS-maskedLM
LinearSVC,0.767515923566879,0.767515923566879,0.767515923566879,0.7675159235668791,0.6462152108012844,0.5983568939712106,0.5985224686529018,0.7612262226651431,0.767515923566879,0.7511070709166886,yonatanlou/BEREL-finetuned-DSS-maskedLM
LinearSVC,0.7643312101910829,0.7643312101910829,0.7643312101910829,0.7643312101910829,0.6331388666222462,0.5923117133993933,0.5959375821453862,0.7494298391685054,0.7643312101910829,0.7479558417417634,onlplab/alephbert-base
LogisticRegression,0.7643312101910829,0.7643312101910829,0.7643312101910829,0.7643312101910829,0.5669515795521988,0.5459944172666286,0.5448196521534449,0.7132684644983259,0.7643312101910829,0.7304725198973859,dicta-il/BEREL
LinearSVC,0.7611464968152867,0.7611464968152867,0.7611464968152867,0.7611464968152867,0.6271558065860978,0.6027068845750859,0.6014640454703822,0.73517533816863,0.7611464968152867,0.7408406233108664,dicta-il/MsBERT
MLPClassifier,0.7611464968152867,0.7611464968152867,0.7611464968152867,0.7611464968152867,0.6807723708338483,0.5583156413547942,0.5858858150414759,0.7311326137788354,0.7611464968152867,0.7252587016725426,tfidf
MLPClassifier,0.7611464968152867,0.7611464968152867,0.7611464968152867,0.7611464968152867,0.6146670709209427,0.5711612495203975,0.5709623794616662,0.7316827507445832,0.7611464968152867,0.7351776132332862,yonatanlou/alephbert-base-finetuned-DSS-maskedLM
LinearSVC,0.7579617834394905,0.7579617834394905,0.7579617834394905,0.7579617834394905,0.6341986586071063,0.6070280304584574,0.6031569225157217,0.7480938858996452,0.7579617834394905,0.7420986584219179,yonatanlou/dictabert-finetuned-DSS-maskedLM
MLPClassifier,0.7579617834394905,0.7579617834394905,0.7579617834394905,0.7579617834394905,0.6066843535833305,0.5661586144395582,0.5651182919958943,0.7380066007672422,0.7579617834394905,0.7365696081759182,dicta-il/MsBERT
MLPClassifier,0.7547770700636943,0.7547770700636943,0.7547770700636943,0.7547770700636943,0.5954370985911234,0.5555358795840858,0.5576868044586818,0.7256534746840105,0.7547770700636943,0.7311507421277855,onlplab/alephbert-base
LogisticRegression,0.7515923566878981,0.7515923566878981,0.7515923566878981,0.751592356687898,0.559569042928176,0.5184202343891723,0.5176539605543744,0.7089513261394115,0.7515923566878981,0.7185445528306019,dicta-il/MsBERT
LogisticRegression,0.7484076433121019,0.7484076433121019,0.7484076433121019,0.7484076433121017,0.5656943941851063,0.5233795356202626,0.5264161609150448,0.7121329604993899,0.7484076433121019,0.7188655566691569,yonatanlou/alephbert-base-finetuned-DSS-maskedLM
MLPClassifier,0.7452229299363057,0.7452229299363057,0.7452229299363057,0.7452229299363057,0.5929706294203999,0.5552633904261328,0.5571912469356427,0.7258209867633518,0.7452229299363057,0.7242849367534254,yonatanlou/dictabert-finetuned-DSS-maskedLM
LinearSVC,0.7452229299363057,0.7452229299363057,0.7452229299363057,0.7452229299363057,0.5886001937887165,0.5759977107567642,0.5664920658863619,0.725278443077378,0.7452229299363057,0.7258212180617138,dicta-il/dictabert
LinearSVC,0.7452229299363057,0.7452229299363057,0.7452229299363057,0.7452229299363057,0.6647254499886079,0.5819804476259276,0.5988609331340936,0.7501452422312295,0.7452229299363057,0.735061061971046,dicta-il/BEREL
LogisticRegression,0.7452229299363057,0.7452229299363057,0.7452229299363057,0.7452229299363057,0.6103581496481282,0.5411639611148934,0.5525683620856052,0.7170309134908615,0.7452229299363057,0.7177825640261318,trigram
LinearSVC,0.7420382165605095,0.7420382165605095,0.7420382165605095,0.7420382165605095,0.5603848650058144,0.5419684759197293,0.5395422602513286,0.7010327332684647,0.7420382165605095,0.7140029437667508,trigram
MLPClassifier,0.7420382165605095,0.7420382165605095,0.7420382165605095,0.7420382165605095,0.5402761075524996,0.5036492889509578,0.5010906002812563,0.6938320995966109,0.7420382165605095,0.7031862050891898,trigram
LogisticRegression,0.7388535031847133,0.7388535031847133,0.7388535031847133,0.7388535031847133,0.6359611041000235,0.5371947543350658,0.5504142835756552,0.7328553355082561,0.7388535031847133,0.715794200247171,onlplab/alephbert-base
MLPClassifier,0.7388535031847133,0.7388535031847133,0.7388535031847133,0.7388535031847133,0.5959369792574127,0.5667739497438504,0.5642515978050707,0.7221521671783943,0.7388535031847133,0.7187223960190954,dicta-il/dictabert
