silhouette,jaccard,dasgupta,clustering_accuracy,epoch,num_adjs,epochs,hidden_dim,latent_dim,distance,learning_rate,threshold,bert_model,adj_type,num_edges
0.27294302,0.2445721974191181,0.877327730256656,0.46632124352331605,249,1,250,300,100,cosine,0.001,0.99,dicta-il/BEREL,tfidf,9313
0.2672578,0.22578539855824853,0.8250450560532134,0.4383419689119171,248,1,250,300,100,cosine,0.001,0.99,dicta-il/BEREL,trigram,9313
0.20373075,0.2042936685609322,0.8196621591104949,0.41658031088082903,249,1,250,300,100,cosine,0.001,0.99,dicta-il/BEREL,BOW-n_gram,9313
0.18646234,0.09190668830696931,0.6883853296667689,0.2621761658031088,178,1,250,300,100,cosine,0.001,0.99,dicta-il/BEREL,starr,9313
0.2733139,0.24797843665768193,0.858374121408896,0.48393782383419687,248,2,250,300,100,cosine,0.001,0.99,dicta-il/BEREL,tfidf & trigram,9313
0.24044797,0.23328579069352826,0.8516547556322891,0.46528497409326425,217,2,250,300,100,cosine,0.001,0.99,dicta-il/BEREL,tfidf & BOW-n_gram,9313
0.16127303,0.16530862515329064,0.7700327373698108,0.38963730569948185,246,2,250,300,100,cosine,0.001,0.99,dicta-il/BEREL,tfidf & starr,9313
0.24390562,0.23547014815901424,0.8507672436901262,0.45181347150259066,243,2,250,300,100,cosine,0.001,0.99,dicta-il/BEREL,trigram & BOW-n_gram,9313
0.17057933,0.1712586013104148,0.7651750774882639,0.37927461139896373,231,2,250,300,100,cosine,0.001,0.99,dicta-il/BEREL,trigram & starr,9313
0.14734632,0.13241951710261568,0.7566462387185491,0.32849740932642485,134,2,250,300,100,cosine,0.001,0.99,dicta-il/BEREL,BOW-n_gram & starr,9313
0.25611702,0.19672751623140303,0.8617907348048945,0.41450777202072536,98,1,250,300,100,cosine,0.001,0.99,onlplab/alephbert-base,tfidf,9313
0.24945799,0.17101066754646432,0.8058998519997919,0.36476683937823834,175,1,250,300,100,cosine,0.001,0.99,onlplab/alephbert-base,trigram,9313
0.21511567,0.15817631400386242,0.8073336283812141,0.37512953367875645,202,1,250,300,100,cosine,0.001,0.99,onlplab/alephbert-base,BOW-n_gram,9313
0.20308132,0.09484536082474226,0.6753701655647172,0.2704663212435233,129,1,250,300,100,cosine,0.001,0.99,onlplab/alephbert-base,starr,9313
0.2522067,0.18481177101866758,0.8398514619641799,0.39896373056994816,130,2,250,300,100,cosine,0.001,0.99,onlplab/alephbert-base,tfidf & trigram,9313
0.22649518,0.1752440980331467,0.8419964782246461,0.38238341968911915,209,2,250,300,100,cosine,0.001,0.99,onlplab/alephbert-base,tfidf & BOW-n_gram,9313
0.16076435,0.14481556002682763,0.7710739281284238,0.3616580310880829,178,2,250,300,100,cosine,0.001,0.99,onlplab/alephbert-base,tfidf & starr,9313
0.23253506,0.1585924713584288,0.817795196370913,0.34818652849740933,144,2,250,300,100,cosine,0.001,0.99,onlplab/alephbert-base,trigram & BOW-n_gram,9313
0.17021877,0.1473747591522158,0.7606631390198517,0.35233160621761656,219,2,250,300,100,cosine,0.001,0.99,onlplab/alephbert-base,trigram & starr,9313
0.14749241,0.12040194255011366,0.7134435890253352,0.31191709844559584,111,2,250,300,100,cosine,0.001,0.99,onlplab/alephbert-base,BOW-n_gram & starr,9313
0.26430544,0.26299929276467515,0.8693845263362374,0.48911917098445595,222,1,250,300,100,cosine,0.001,0.99,dicta-il/dictabert,tfidf,9313
0.2587739,0.21678439760222892,0.8283861722140564,0.43626943005181346,227,1,250,300,100,cosine,0.001,0.99,dicta-il/dictabert,trigram,9313
0.20658867,0.17399778036434507,0.8124058122583588,0.39481865284974094,193,1,250,300,100,cosine,0.001,0.99,dicta-il/dictabert,BOW-n_gram,9313
0.2056025,0.10042644922442476,0.6911659767233677,0.2922279792746114,168,1,250,300,100,cosine,0.001,0.99,dicta-il/dictabert,starr,9313
0.26053637,0.21688521749176823,0.8748138400976071,0.4538860103626943,196,2,250,300,100,cosine,0.001,0.99,dicta-il/dictabert,tfidf & trigram,9313
0.23405261,0.22442455242966752,0.8603689261333414,0.4538860103626943,198,2,250,300,100,cosine,0.001,0.99,dicta-il/dictabert,tfidf & BOW-n_gram,9313
0.15910277,0.1487324703344121,0.7971942937759351,0.35647668393782384,75,2,250,300,100,cosine,0.001,0.99,dicta-il/dictabert,tfidf & starr,9313
0.239776,0.21500278046067844,0.8424222826309239,0.41968911917098445,190,2,250,300,100,cosine,0.001,0.99,dicta-il/dictabert,trigram & BOW-n_gram,9313
0.16469263,0.14353274374114944,0.75410315629524,0.3544041450777202,221,2,250,300,100,cosine,0.001,0.99,dicta-il/dictabert,trigram & starr,9313
0.15549468,0.13842500989315393,0.7456406432447065,0.34404145077720205,144,2,250,300,100,cosine,0.001,0.99,dicta-il/dictabert,BOW-n_gram & starr,9313
0.28066933,0.22190902886983355,0.8476281245762329,0.44455958549222796,170,1,250,300,100,cosine,0.001,0.99,dicta-il/MsBERT,tfidf,9313
0.26120076,0.20007861635220126,0.8208844313857255,0.41450777202072536,166,1,250,300,100,cosine,0.001,0.99,dicta-il/MsBERT,trigram,9313
0.23143193,0.17478624510561222,0.8008538404975011,0.38756476683937824,224,1,250,300,100,cosine,0.001,0.99,dicta-il/MsBERT,BOW-n_gram,9313
0.21504416,0.10643188818904878,0.6896417155075144,0.3077720207253886,225,1,250,300,100,cosine,0.001,0.99,dicta-il/MsBERT,starr,9313
0.27241394,0.20088505880982882,0.8564949672639334,0.39896373056994816,152,2,250,300,100,cosine,0.001,0.99,dicta-il/MsBERT,tfidf & trigram,9313
0.24963905,0.20941447971833485,0.8475505022337174,0.43626943005181346,242,2,250,300,100,cosine,0.001,0.99,dicta-il/MsBERT,tfidf & BOW-n_gram,9313
