book,sentence_path,section,composition,similarity,normalized_similarity,text,n_words
1QHa,1QHa:7:16-7:26,sectarian_texts,Hodayot,0.97166157,1.0,כה לאין השבת מקץ לקץ ישמיעו ומועד למועד יברכו בקול ואנחנו ביחד נועדים גבוריכהועם ידעים נוסרה לכה ונרננה ברוב רחמיכה ח עם גבוריכה ובהפלא נספרה יחד בדעת אל ועד בעדת ה וצאצאינו הודעתה עם בני איש בתוך בני אדם כיא בהפלא מאדה ברוך אתה אל הרחמים בשיר מזמור למשכיל ד רנה יאהבו אותך כול הימים ואני אמת ואהבכה בנדבה ובכול לב ובכול נפש בררתי מעוון ועל נפשי הקימותי לבלתי סור מכול אשר צויתה ואחזיקה על רבים מועדים ליום הרגה לבלתי עזוב מכול חוקיך ואני ידעתי בבינתך כיאלא ביד בשר יוכל להתם אדם דרכו ולא יוכל אנוש להכין צעדו ואדעה כי בידך יצר כול רוח וכול פעולתו ,107
1QHa,1QHa:7:26-7:34,sectarian_texts,Hodayot,0.970803,0.99677527,להכין צעדו ואדעה כי בידך יצר כול רוח וכול פעולתו הכינותה בטרם בראתו ואיכה יוכל כול להשנות את דבריכה רק אתה בראתה צדיק ומרחם הכינותו למועד רצון להשמר בבריתך ולתהלך בכול ולהגיש עליו בהמון רחמיך ולפתוח כול צרת נפשו לישועת עולם ושלום עד ואין מחסור ותרם מבשר כבודו ורשעים בראתה ליצר חרונכה ומרחם הקדשתם ליום הרגה כי הלכו בדרך לא טוב וימאסו בבריתכה וחוקיך תעבה נפשם ולא רצו בכול אשר צויתה ויבחרו באשר שנאתה כיא לקצי חרונך הכינותם לעשות בם שפטים גדולים לעיני כול מעשיך ולהיות לאות ומופת דורות עולם לדעת כול את כבודך ואת כוחך הגדול ומה אף הוא בשר כי ישכיל באלה ויצר עפר איך יוכל להכין צעדו ,111
1QM,1QM:11:10-12:2,sectarian_texts,War Scroll,0.9680563,0.9864585, ונכאי רוח תבעיר כלפיד אש בעמיר אוכלת רשעה לוא תשוב עד כלות אשמה ומאז השמיעתנו מועד גבורת ידכה בכתיים לאמור ונפל אשור בחרב לוא איש וחרב לוא אדם תואכלנו כיא ביד אביונים תסגיר אויבי כול הארצות וביד כורעי עפר להשפיל גבורי עמים להשיב גמול רשעים בראש א ולהצדיק משפט אמתכה בכול בני איש ולעשות לכה שם עולם בעם המלחמות ולהתגדל ולהתקדש לעיני שאר הגוים לדעת בעשותכה שפטים בגוג ובכול קהלו הנקהלים עלינו כיא תלחם בם מן השמים עליהם למהמה כיא רוב קדושים לכה בשמים וצבאות מלאכים בזבול קודשכה להלל אמתכה ובחירי עם קודש שמתה לכה ביחד ומספר שמות כול צבאם אתכה במעון קודשכה ומספר צדיקים בזבול כבודכה ,109
1QHa,1QHa:8:12-8:23,sectarian_texts,Hodayot,0.96797764,0.98616296, ש ואין לנגדך ומה נחשב וכול איש מתקדש בל יטה לאשמה לישר לבבו איכה יבין ולא יעשה כול מבלעדיך עד עולם ומקור אור פתחתה ולעצתך תקראני להלל קודשך מפי כל מעשיך כיא פעלתה להוחד עם צבא גבורי עולם ורוח עורף קשה לדממה הואלתה לעשות בם משפט ולהאזין קול נכבד למעשי ורוח נעוה משלה ביצר עפר ו מ ש יך מעפר צדיק וכב ברוח קודשך אשר נתתה בי ולא יוכל אנוש לבקש רוח קודשך מלוא השמים והארץ כבודך מלוא כול תבל ואדעה כי ברצונך באיש הרביתה נחלתו בצדקותיך ר אמתך בכול ומשמר צדק על דברך אשר הפקדתה בו פן ישגה ממצוותיך ולבלתי כשול בכול מעשיו כי ,107
1QS,1QS:1:10-1:19,sectarian_texts,community_rule,0.9677878,0.9854499,כגורלו בעצת אל ולשנוא כול בני חושך איש כאשמתו בנקמת אל וכול הנדבים לאמתו יביאו כול דעתם וכוחם והונם ביחד אל לברר דעתם באמת חוקי אל וכוחם לתכן כתם דרכיו וכול הונם כעצת צדקו ולוא לצעוד בכול אחד מכול דברי אל בקציהם ולוא לקדם עתיהם ולוא להתאחר מכול מועדיהם ולוא לסור מחוקי אמתו ללכת ימין ושמאול וכול הבאים בסרך היחד יאעבורו בברית לפני אל לעשות ככול אשר צוה ולוא לשוב מאחרו מכול פחד ואימה ומצרפ נסהיימ בממשלת בליעל ובעוברם בברית יהיו הכוהנים והלויים מברכים את אל ישועות ואת כול מעשי אמתו וכול ,93
CD,CD:13:16-14:3,sectarian_texts,CD,0.96772945,0.98523074,מחנה ועשה בעצה ולא ישוגו וכן לכל לוקח אשה וה עצה וכן למגרש והוא ייסר את בניהם ובנותיהם וטפם ברוח ענוה ובאהבת חסד אל יטור להם באף פשעיהם ואת אשר איננו נקשר בש וזה מושב המחנות לכל קץ הרשעה ואשר לא יחזיקו באלה לא יצליחו לשבת בארץ ב ואלה הש ים למשכיל להתהלך בם עם כל חי למשפט עת ועת כאשר אמר יבוא עליך ועל עמך ועל בית אביך ימים אשר לא באו מיום סור אפרים מעל יהודה וכל המתהלכים באלה ברית אל נאמנות להם להנצילם מכל מוקשי שחת כי פתאום פתאים ונענשו וסרך מושב כל המחנות יפקדו כלם בשמותיהם הכהנים לראשונה ,103
1QHa,1QHa:14:18-14:25,sectarian_texts,Hodayot,0.9677187,0.98519045,נצר למעופי מטעת עולם ויצל צל על כול תבל ודליותיו עד שחקים ושרשיו עד תהום וכול נהרות עדן תלחלחנה דליותיו והיה לימים לאין חקר והתאזרו על תבל לאין אפס ועד שאול והיה מעין אור למקור עולם לאין הסר בשביבי נוגהו יבערו כול בני עולה והיה לאש בוערת בכול אנשי אשמה עד כלה והמה נצמדי תעודתי פותו במליצי תעות להביא זר בעבודת צדק ואתה אל צויתם להועיל מדרכיהם בדרך קודש אשר ילכו בה וערל וטמא ופריץ בל יעוברנה ויתמוטטו מדרך לבכה ובהוות פשעם יכשלו וכמוא יועץ בליעל עם לבבם ויכינו מחשבת רשעה יתגוללו באשמה ואני הייתי כמלח באוניה בזעף ,99
4Q171,4Q171:f1_2ii:6-f1_2ii:16,sectarian_texts,Pesharim,0.9675323,0.98449016,ואתבוננה על מקומו ואיננו פשרו על כול הרשעה לסוף ארבעים השנה אשר יתמו ולוא ימצא בארץ כול איש רשע וענוים ירשו ארץ והתענגו על רוב שלום פשרו על עדת האביונים אשר יקבלו את מועד התעות ונצלו מכול פחי בליעל ואחר יתענגו כול בי הארץ והתדשנו בכול תענוג בשר זומם רשע לצדיק וחורק עליו שניו יהוה ישחק לו כיא ראה כיא בא יומו פשרו על עריצי הברית אשר בבית יהודה אשר יזומו לכלות את עושי התורה אשר בעצת היחד ואל לוא יעזבם בידם חרב פתחו רשעים וידרוכו קשתם לפיל עני ואביון ולטבוח ישרי דרך חרבם תבוא בלבם וקשתותיהם תשברנה ,99
1QHa,1QHa:6:35-7:16,sectarian_texts,Hodayot,0.9672494,0.9834276,הסולח לשבי פשע ופוקד עוון רשעים בנדבת לבבם ותשנא עולה לעד ואני עבדך חנותני ברוח דעה לבחור באמת וצדק ולתעב כול דרך עולה ואהבכה נדבה ובכול לב ך ובמשפטך כי מידך היתה זאת ובלוא רצונך לוא יעשה כול כה ימשול בש שיך ותט כי אנוש רק שב לעפרו הוא ותכן בש את ל רקיע על כנפי רוח ויפל ם ברוך אתה אל עליון אשר במעין גבורתכה השכלתנו נו ועל מעשי פלאכה מה נשיב כי גמלתנו המון רחמים להפליא ות לא יעצרו כוח לדעת בכבודכה ולספר נפלאותיכה לעולם כי יהללוכה לפי שכלם וכפי דעתם בכבודכה כי אתה פתחתה כה לאין השבת מקץ לקץ ישמיעו ומועד למועד יברכו ,107
1QS,1QS:3:8-3:17,sectarian_texts,community_rule,0.9670713,0.98275864,יושר וענוה תכופר חטתו ובענות נפשו לכול חוקי אל יטהר בשרו להזות במי נדה ולהתקדש במי דוכי ויהכין פעמיו להלכת תמים בכול דרכי אל כאשר צוה למועדי תעודתיו ולוא לסור ימין ושמאול ואין לצעוד על אחד מכול דבריו אז ירצה בכפורי ניחוח לפני אל והיתה לו לברית יחד עולמים למשכיל להבין וללמד את כול בני אור בתולדות כול בני איש לכול מיני רוחותם באותותם למעשיהם בדורותם ולפקודת נגיעיהם עם קצי שלומם מאל הדעות כול הווה ונהייה ולפני היותם הכין כול מחשבתם ובהיותם לתעודותם כמחשבת כבודו ימלאו פעולתם ואין להשנות בידו משפטי כול והואה יכלכלם בכול חפציהם והואה ברא אנוש לממשלת ,101
