vectorizer,dasgupta_score,dasgupta_score_rand,max_dist_metric_mean,cv
dicta-il/BEREL,0.6999194164033207,0.3292990785978065,0.04223990745142101,0
onlplab/alephbert-base,0.6336904516408663,0.3364659523742062,0.044249715827103776,0
dicta-il/dictabert-tiny,0.5434800475926995,0.3273210794532303,0.03075468530326925,0
dicta-il/dictabert-large,0.6793863434946936,0.33421034523236093,0.05162260711523237,0
dicta-il/dictabert,0.6729970648335499,0.32875162078545184,0.04414575676225696,0
tfidf,0.6509744248108456,0.34559362236947044,0.05017855502074237,0
trigram,0.5782634906604162,0.3284291502564249,0.043488711341371965,0
starr,0.4782048727542456,0.3169922404685672,0.021012008183615562,0
dicta-il/BEREL,0.5869016425960007,0.3275737263426041,0.05086739440936192,1
onlplab/alephbert-base,0.6287491358581605,0.3396383742628041,0.04407240827232262,1
dicta-il/dictabert-tiny,0.6086251120085122,0.33285131410113705,0.03772242910402139,1
dicta-il/dictabert-large,0.6409360852301798,0.33141065340084996,0.03905007494170977,1
dicta-il/dictabert,0.6424148242082888,0.32770123038023186,0.05706736567932351,1
tfidf,0.6450387927368628,0.33769613021872685,0.05418666382489268,1
trigram,0.5762456039741594,0.33847430962297936,0.03378412918646904,1
starr,0.4930993791775742,0.33985020636764607,0.02028579407827268,1
dicta-il/BEREL,0.6141141410829039,0.33294474959961046,0.04588578225013941,2
onlplab/alephbert-base,0.6396017169710545,0.3303278810178196,0.044615147140623056,2
dicta-il/dictabert-tiny,0.5860497739858237,0.322378780089941,0.0349065117257892,2
dicta-il/dictabert-large,0.5842374752218298,0.3289624409534875,0.040305825730062264,2
dicta-il/dictabert,0.659319783803927,0.3337064007026891,0.04186676681247736,2
tfidf,0.6644989273696165,0.33833466234367265,0.0446624539844591,2
trigram,0.6080490728915835,0.3418163995828122,0.0492830764970977,2
starr,0.48255128122547697,0.3322751847459297,0.022259724050496244,2
dicta-il/BEREL,0.6960862961988593,0.3366609188656054,0.04190839160883708,3
onlplab/alephbert-base,0.6182719896205511,0.33494197554351124,0.04769846998983814,3
dicta-il/dictabert-tiny,0.6501207659509878,0.34600210752705585,0.039456069932419804,3
dicta-il/dictabert-large,0.6337825836096207,0.3266997502539962,0.054631944253336444,3
dicta-il/dictabert,0.6729746813208267,0.3461522114866971,0.04558232491493898,3
tfidf,0.6804476988833457,0.32582375029177507,0.035460764485804805,3
trigram,0.6087683166944095,0.33692166124943174,0.03963385176014307,3
starr,0.4991617852094461,0.3303727435495775,0.021765595817525834,3
dicta-il/BEREL,0.6817173870386928,0.3259492304557899,0.05026417725862996,4
onlplab/alephbert-base,0.678807540729388,0.33142515782841064,0.0442288708097608,4
dicta-il/dictabert-tiny,0.5771703430625059,0.3241763171706787,0.03111525742380074,4
dicta-il/dictabert-large,0.6216600249220642,0.3431865620189085,0.041643543311681644,4
dicta-il/dictabert,0.6279408061773792,0.3315435544347794,0.049198270806971665,4
tfidf,0.6875002459485524,0.3242049887135315,0.040515671803951006,4
trigram,0.5706676420483598,0.33651283877957733,0.04134976711121971,4
starr,0.46163142309055205,0.3365829997314995,0.022319301599507263,4
dicta-il/BEREL,0.6810777478608253,0.32515789587305194,0.03863701475344649,5
onlplab/alephbert-base,0.604248816931809,0.33195305152917165,0.04095290599680174,5
dicta-il/dictabert-tiny,0.6126321242331856,0.3319409082874927,0.03661101567955558,5
dicta-il/dictabert-large,0.6146059671613319,0.3438068792813361,0.03909805133845738,5
dicta-il/dictabert,0.6551399421866241,0.3390339106770127,0.035406612029895125,5
tfidf,0.6463055611966688,0.34280337528148724,0.04116230324898989,5
trigram,0.5658256122976999,0.3226914685631712,0.042343326866264824,5
starr,0.5074009915039367,0.32041157493796846,0.021843038949419614,5
dicta-il/BEREL,0.609302240306358,0.31988604242308954,0.04035055702676549,6
