model,accuracy,precision,recall,f1_score,vectorizer
RandomForestClassifier,0.9241706161137441,0.9300602769981134,0.9241706161137441,0.902370404740073,dicta-il/BEREL
RandomForestClassifier,0.933649289099526,0.9382027692593625,0.933649289099526,0.918240431111218,onlplab/alephbert-base
RandomForestClassifier,0.9383886255924171,0.9423341815889617,0.9383886255924171,0.9255981972473839,dicta-il/dictabert
RandomForestClassifier,0.9004739336492891,0.8108533051818243,0.9004739336492891,0.8533169446053113,tfidf
RandomForestClassifier,0.9004739336492891,0.8108533051818243,0.9004739336492891,0.8533169446053113,trigram
RandomForestClassifier,0.919431279620853,0.9260480344345994,0.919431279620853,0.8937629376723529,starr
LogisticRegression,0.957345971563981,0.9592750482269166,0.957345971563981,0.9520229402050575,dicta-il/BEREL
LogisticRegression,0.9478672985781991,0.9452234200165345,0.9478672985781991,0.9460663697482031,onlplab/alephbert-base
LogisticRegression,0.943127962085308,0.941426109435588,0.943127962085308,0.9349708348523513,dicta-il/dictabert
LogisticRegression,0.9004739336492891,0.8108533051818243,0.9004739336492891,0.8533169446053113,tfidf
LogisticRegression,0.95260663507109,0.9549763033175356,0.95260663507109,0.9458090290436263,trigram
LogisticRegression,0.909952606635071,0.8921511963934805,0.909952606635071,0.8866492024449912,starr
SVC,0.9241706161137441,0.9300602769981134,0.9241706161137441,0.902370404740073,dicta-il/BEREL
SVC,0.933649289099526,0.9309902554236467,0.933649289099526,0.9213947190250507,onlplab/alephbert-base
SVC,0.9383886255924171,0.9423341815889617,0.9383886255924171,0.9255981972473839,dicta-il/dictabert
SVC,0.9004739336492891,0.8108533051818243,0.9004739336492891,0.8533169446053113,tfidf
SVC,0.9241706161137441,0.9300602769981134,0.9241706161137441,0.902370404740073,trigram
SVC,0.9004739336492891,0.8108533051818243,0.9004739336492891,0.8533169446053113,starr
KNeighborsClassifier,0.9383886255924171,0.9362877555351207,0.9383886255924171,0.9283242314560411,dicta-il/BEREL
KNeighborsClassifier,0.9478672985781991,0.9507203319893424,0.9478672985781991,0.9393512727704963,onlplab/alephbert-base
KNeighborsClassifier,0.9478672985781991,0.9507203319893424,0.9478672985781991,0.9393512727704963,dicta-il/dictabert
KNeighborsClassifier,0.957345971563981,0.9592750482269166,0.957345971563981,0.9520229402050575,tfidf
KNeighborsClassifier,0.909952606635071,0.91813873330461,0.909952606635071,0.8749031036276038,trigram
KNeighborsClassifier,0.9146919431279621,0.9057838310403534,0.9146919431279621,0.8901667053325821,starr
AdaBoostClassifier,0.943127962085308,0.941426109435588,0.943127962085308,0.9349708348523513,dicta-il/BEREL
AdaBoostClassifier,0.9715639810426541,0.9709374344353465,0.9715639810426541,0.9702154527313545,onlplab/alephbert-base
AdaBoostClassifier,0.9383886255924171,0.9336373812188906,0.9383886255924171,0.9306998025184162,dicta-il/dictabert
AdaBoostClassifier,0.943127962085308,0.941426109435588,0.943127962085308,0.9349708348523513,tfidf
AdaBoostClassifier,0.933649289099526,0.9309902554236467,0.933649289099526,0.9213947190250507,trigram
AdaBoostClassifier,0.9052132701421801,0.897464785494009,0.9052132701421801,0.9007181757711814,starr
