model,accuracy,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,vectorizer
MLPClassifier,0.5091575091575091,0.5091575091575091,0.5091575091575091,0.5091575091575091,0.38579537612146303,0.369422124334405,0.36311269576305655,0.47756189060536886,0.5091575091575091,0.4793315159424591,yonatanlou/BEREL-finetuned-DSS-maskedLM
LogisticRegression,0.4908424908424908,0.4908424908424908,0.4908424908424908,0.4908424908424908,0.35165423054311945,0.3532813093339409,0.3380184813342857,0.44022580322946625,0.4908424908424908,0.448214577175293,yonatanlou/BEREL-finetuned-DSS-maskedLM
LogisticRegression,0.47619047619047616,0.47619047619047616,0.47619047619047616,0.47619047619047616,0.318753455426516,0.3472010624203607,0.32288750646593783,0.42041557725911727,0.47619047619047616,0.4380085104390211,yonatanlou/BEREL-finetuned-DSS-composition-classification
MLPClassifier,0.46886446886446886,0.46886446886446886,0.46886446886446886,0.46886446886446886,0.35759719346675867,0.36073605731500463,0.344576201393229,0.4531555171306724,0.46886446886446886,0.4472914558804211,yonatanlou/BEREL-finetuned-DSS-composition-classification
LogisticRegression,0.4652014652014652,0.4652014652014652,0.4652014652014652,0.4652014652014652,0.3232974587141254,0.3246084698277681,0.3090470612397296,0.41502221323649896,0.4652014652014652,0.4174174948751268,dicta-il/BEREL
LogisticRegression,0.4652014652014652,0.4652014652014652,0.4652014652014652,0.4652014652014652,0.3262010582010582,0.321874024286305,0.312784669251762,0.4094829753071511,0.4652014652014652,0.4208224377525714,dicta-il/dictabert
LogisticRegression,0.46153846153846156,0.46153846153846156,0.46153846153846156,0.46153846153846156,0.33894331934561817,0.3375273410799727,0.3244974067611187,0.41443237477720235,0.46153846153846156,0.4208189454907497,dicta-il/dictabert-large
LogisticRegression,0.46153846153846156,0.46153846153846156,0.46153846153846156,0.46153846153846156,0.3344279383168272,0.3292413483202957,0.3199972913877845,0.41536709796783056,0.46153846153846156,0.4228077944707697,onlplab/alephbert-base
LogisticRegression,0.46153846153846156,0.46153846153846156,0.46153846153846156,0.46153846153846156,0.34605058521725185,0.34003215108478263,0.32991127844102675,0.4152903974332546,0.46153846153846156,0.42058934086368893,yonatanlou/BEREL-finetuned-DSS-sectarian-classification
MLPClassifier,0.46153846153846156,0.46153846153846156,0.46153846153846156,0.46153846153846156,0.3272949003563038,0.3341559496384058,0.31838275921609255,0.41532858868312883,0.46153846153846156,0.4242783569706647,dicta-il/BEREL
MLPClassifier,0.4542124542124542,0.4542124542124542,0.4542124542124542,0.4542124542124542,0.3579747541776528,0.3466704007493482,0.3378090546404499,0.42538744474721546,0.4542124542124542,0.42432189477614984,yonatanlou/BEREL-finetuned-DSS-sectarian-classification
LogisticRegression,0.4468864468864469,0.4468864468864469,0.4468864468864469,0.4468864468864469,0.26923388884173194,0.2631738647966718,0.2500045302196017,0.37204506511229196,0.4468864468864469,0.3847417867710729,dicta-il/dictabert-tiny
MLPClassifier,0.4468864468864469,0.4468864468864469,0.4468864468864469,0.4468864468864469,0.34457671957671954,0.34514164198374725,0.3349932007115915,0.42462061747776036,0.4468864468864469,0.42539589338566225,onlplab/alephbert-base
LogisticRegression,0.43956043956043955,0.43956043956043955,0.43956043956043955,0.43956043956043955,0.34899621531806213,0.33178984920212995,0.3262669552105097,0.4200387154803246,0.43956043956043955,0.41298964321633874,trigram
MLPClassifier,0.4358974358974359,0.4358974358974359,0.4358974358974359,0.4358974358974359,0.3454012345679012,0.33559182046024155,0.32378403456360444,0.43427524856096283,0.4358974358974359,0.4114406914655054,dicta-il/dictabert
KNeighborsClassifier,0.43223443223443225,0.43223443223443225,0.43223443223443225,0.43223443223443225,0.29481026294979784,0.2993117895749475,0.28061786662723215,0.38269947461744036,0.43223443223443225,0.38187692882514457,onlplab/alephbert-base
LinearSVC,0.43223443223443225,0.43223443223443225,0.43223443223443225,0.43223443223443225,0.3502399517311798,0.3454683214770934,0.3334798080412116,0.41786242162182,0.43223443223443225,0.40997373339767784,yonatanlou/BEREL-finetuned-DSS-maskedLM
LinearSVC,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.32438662644544997,0.34508478688303246,0.3209678223011556,0.40374027322960737,0.42857142857142855,0.40161136990807317,trigram
LinearSVC,0.4249084249084249,0.4249084249084249,0.4249084249084249,0.4249084249084249,0.31876455026455025,0.3136806241192206,0.3038172393637798,0.38102389673818243,0.4249084249084249,0.3861870752407869,tfidf
RandomForestClassifier,0.4249084249084249,0.4249084249084249,0.4249084249084249,0.4249084249084249,0.20608914778032425,0.2325349358244095,0.2072233908299071,0.3230288035960305,0.4249084249084249,0.34936499578406544,yonatanlou/BEREL-finetuned-DSS-composition-classification
KNeighborsClassifier,0.4175824175824176,0.4175824175824176,0.4175824175824176,0.41758241758241765,0.2699800989317118,0.27103537463186583,0.25712058819901956,0.3709406379292944,0.4175824175824176,0.3740196239873034,dicta-il/dictabert
MLPClassifier,0.4175824175824176,0.4175824175824176,0.4175824175824176,0.41758241758241765,0.29508814764730923,0.3144685999510561,0.2937985703909748,0.37721526571135383,0.4175824175824176,0.38438278250936764,dicta-il/dictabert-large
LinearSVC,0.4175824175824176,0.4175824175824176,0.4175824175824176,0.41758241758241765,0.33592953018391614,0.33080023290549604,0.3191732764147124,0.4013010376081515,0.4175824175824176,0.39282136370414994,dicta-il/BEREL
RandomForestClassifier,0.4139194139194139,0.4139194139194139,0.4139194139194139,0.4139194139194139,0.21232312046265533,0.21044214070529857,0.19653859014633543,0.3201140682868258,0.4139194139194139,0.33016670149854144,yonatanlou/BEREL-finetuned-DSS-maskedLM
LinearSVC,0.4139194139194139,0.4139194139194139,0.4139194139194139,0.4139194139194139,0.3488885609757082,0.3459637730690362,0.3331716013264161,0.42117283739954553,0.4139194139194139,0.40312951880852743,yonatanlou/BEREL-finetuned-DSS-composition-classification
LinearSVC,0.4139194139194139,0.4139194139194139,0.4139194139194139,0.4139194139194139,0.32220939554272887,0.3306227057542847,0.3146969047846241,0.401307819164962,0.4139194139194139,0.3955640069289578,onlplab/alephbert-base
LinearSVC,0.41025641025641024,0.41025641025641024,0.41025641025641024,0.41025641025641024,0.3450587307047575,0.3301672953427339,0.32453117220661076,0.413687355283994,0.41025641025641024,0.39692053977768266,yonatanlou/BEREL-finetuned-DSS-sectarian-classification
