model,accuracy,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,vectorizer
MLPClassifier,0.7177914110429447,0.7177914110429447,0.7177914110429447,0.7177914110429446,0.6996369858211963,0.6264595200121517,0.6319719139996335,0.7465130302553615,0.7177914110429447,0.7147744471197998,onlplab/alephbert-base
MLPClassifier,0.7116564417177914,0.7116564417177914,0.7116564417177914,0.7116564417177914,0.6364875093647472,0.6079030910609858,0.6051805610657284,0.7082181392162094,0.7116564417177914,0.7007280596560544,yonatanlou/BEREL-finetuned-DSS-maskedLM
LogisticRegression,0.7116564417177914,0.7116564417177914,0.7116564417177914,0.7116564417177914,0.6753950594859687,0.5939912280701755,0.6052533134465907,0.7168245864564884,0.7116564417177914,0.6963256877393084,dicta-il/dictabert-large
LinearSVC,0.7116564417177914,0.7116564417177914,0.7116564417177914,0.7116564417177914,0.6724424698108908,0.6320769727348675,0.6383661707397184,0.7231960268770086,0.7116564417177914,0.7096002471790371,dicta-il/dictabert-large
LogisticRegression,0.7116564417177914,0.7116564417177914,0.7116564417177914,0.7116564417177914,0.6390457548830755,0.5868760917445128,0.5931490678826934,0.7158786816455528,0.7116564417177914,0.700188178112328,yonatanlou/BEREL-finetuned-DSS-maskedLM
MLPClassifier,0.7055214723926381,0.7055214723926381,0.7055214723926381,0.7055214723926381,0.6420288856948936,0.5848511430090377,0.5882909977646819,0.7003457487653273,0.7055214723926381,0.6897113313322548,dicta-il/BEREL
LogisticRegression,0.7055214723926381,0.7055214723926381,0.7055214723926381,0.7055214723926381,0.6085219073855437,0.594266727424622,0.5910379062232626,0.6928053541550474,0.7055214723926381,0.6928801456613679,dicta-il/BEREL
LinearSVC,0.6993865030674846,0.6993865030674846,0.6993865030674846,0.6993865030674846,0.6904140051867326,0.6586300979722033,0.6543221447428252,0.7209692148342455,0.6993865030674846,0.6972287797856437,yonatanlou/BEREL-finetuned-DSS-maskedLM
MLPClassifier,0.6993865030674846,0.6993865030674846,0.6993865030674846,0.6993865030674846,0.6659675952067258,0.6126355661881977,0.6123053050907038,0.7063414794209673,0.6993865030674846,0.6880732820089197,yonatanlou/BEREL-finetuned-DSS-sectarian-classification
MLPClassifier,0.6993865030674846,0.6993865030674846,0.6993865030674846,0.6993865030674846,0.5604785826176201,0.5592264752791068,0.5471299583356894,0.6770025225185817,0.6993865030674846,0.6801388408071463,trigram
LogisticRegression,0.6993865030674846,0.6993865030674846,0.6993865030674846,0.6993865030674846,0.6432576755699286,0.5992065390749601,0.6006420668185374,0.7083232296289111,0.6993865030674846,0.6919558820046009,dicta-il/dictabert
MLPClassifier,0.6932515337423313,0.6932515337423313,0.6932515337423313,0.6932515337423313,0.6528119607665063,0.58913438900281,0.5933666840413916,0.7141440869968478,0.6932515337423313,0.6843621928102837,dicta-il/dictabert-large
MLPClassifier,0.6932515337423313,0.6932515337423313,0.6932515337423313,0.6932515337423313,0.6495971739427973,0.6087045264676844,0.6089951108988063,0.7136979945352374,0.6932515337423313,0.6920522583724447,dicta-il/dictabert
LogisticRegression,0.6871165644171779,0.6871165644171779,0.6871165644171779,0.6871165644171779,0.5864896096179518,0.5913729399255715,0.576062669212824,0.6903734202362857,0.6871165644171779,0.6808092464197043,yonatanlou/BEREL-finetuned-DSS-composition-classification
MLPClassifier,0.6871165644171779,0.6871165644171779,0.6871165644171779,0.6871165644171779,0.5944783273611024,0.5882771322245006,0.577876348406886,0.6879223877690135,0.6871165644171779,0.6785786645878955,yonatanlou/BEREL-finetuned-DSS-composition-classification
