model,accuracy,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,vectorizer
MLPClassifier,0.9710982658959537,0.9710982658959537,0.9710982658959537,0.9710982658959537,0.9796425796425797,0.9021372328458943,0.9328311550101432,0.9718069983965939,0.9710982658959537,0.9693846349926959,yonatanlou/BEREL-finetuned-DSS-sectarian-classification
LinearSVC,0.9595375722543352,0.9595375722543352,0.9595375722543352,0.9595375722543352,0.966977466977467,0.8890958942632171,0.9199807110312946,0.96055485939879,0.9595375722543352,0.9579803446293179,yonatanlou/BEREL-finetuned-DSS-sectarian-classification
LogisticRegression,0.9595375722543352,0.9595375722543352,0.9595375722543352,0.9595375722543352,0.9744318181818182,0.8679110423697037,0.9081105562083822,0.9608512874408829,0.9595375722543352,0.9567866433913178,yonatanlou/BEREL-finetuned-DSS-sectarian-classification
LinearSVC,0.953757225433526,0.953757225433526,0.953757225433526,0.953757225433526,0.9409828244274809,0.8652863704536933,0.8959140826873385,0.9525040815426026,0.953757225433526,0.9512255231437916,dicta-il/BEREL
LogisticRegression,0.953757225433526,0.953757225433526,0.953757225433526,0.953757225433526,0.9645308042254608,0.8652863704536933,0.9018156991867811,0.9551665443206722,0.953757225433526,0.9511075963357417,yonatanlou/BEREL-finetuned-DSS-maskedLM
MLPClassifier,0.953757225433526,0.953757225433526,0.953757225433526,0.953757225433526,0.9341389268885849,0.8730783652043494,0.89614898989899,0.9525732164084885,0.953757225433526,0.9512228498861447,yonatanlou/BEREL-finetuned-DSS-composition-classification
MLPClassifier,0.953757225433526,0.953757225433526,0.953757225433526,0.953757225433526,0.9802469135802468,0.8229166666666666,0.8734197665495375,0.9564975380004282,0.953757225433526,0.9476736082657629,trigram
LinearSVC,0.9479768786127167,0.9479768786127167,0.9479768786127167,0.9479768786127167,0.9348695286195285,0.8414768466441694,0.8765510463880029,0.9462982425410171,0.9479768786127167,0.9440809423217064,yonatanlou/BEREL-finetuned-DSS-maskedLM
LogisticRegression,0.9479768786127167,0.9479768786127167,0.9479768786127167,0.9479768786127167,0.9250744047619047,0.870453693288339,0.8899765876499854,0.9473769095788604,0.9479768786127167,0.9455769435718381,yonatanlou/BEREL-finetuned-DSS-composition-classification
MLPClassifier,0.9479768786127167,0.9479768786127167,0.9479768786127167,0.9479768786127167,0.9621212121212123,0.8414768466441694,0.8821232821232822,0.9498598703801016,0.9479768786127167,0.9438830502414319,yonatanlou/BEREL-finetuned-DSS-maskedLM
