epoch,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,num_adjs,epochs,hidden_dim,distance,learning_rate,threshold,bert_model,adj_type,num_edges
46,0.38034069538116455,0.8886986374855042,0.8137874603271484,0.7384615540504456,0.8073171377182007,0.754601240158081,0.754601226993865,0.754601226993865,0.754601226993865,0.7234700971543077,0.6732522594364699,0.6788967149892081,0.7396531382727701,0.754601226993865,0.7329668074789893,2,500,300,cosine,0.001,0.99,yonatanlou/BEREL-finetuned-DSS-maskedLM,trigram & BOW-n_gram,6594
34,0.5191123485565186,0.8424657583236694,0.908970057964325,0.7230769395828247,0.8796711564064026,0.754601240158081,0.754601226993865,0.754601226993865,0.754601226993865,0.6456691793055429,0.612008240297714,0.6097914670967286,0.724299871907234,0.754601226993865,0.7224034938204241,2,500,300,cosine,0.001,0.99,yonatanlou/BEREL-finetuned-DSS-maskedLM,tfidf & trigram,6594
35,0.4974084496498108,0.8561643958091736,0.9012658596038818,0.7384615540504456,0.8682144284248352,0.754601240158081,0.754601226993865,0.754601226993865,0.754601226993865,0.6513827082008901,0.601907230196704,0.6056545971327112,0.7233783598814274,0.754601226993865,0.7237417229628157,1,500,300,cosine,0.001,0.99,yonatanlou/BEREL-finetuned-DSS-maskedLM,trigram,6594
45,0.3727554380893707,0.8886986374855042,0.8144717216491699,0.7538461685180664,0.7876319289207458,0.7423312664031982,0.7423312883435583,0.7423312883435583,0.7423312883435583,0.6546591912698633,0.6187692716640084,0.6158854747662997,0.7447238211241947,0.7423312883435583,0.730438416160435,3,500,300,cosine,0.001,0.99,yonatanlou/BEREL-finetuned-DSS-maskedLM,tfidf & trigram & BOW-n_gram,6594
33,0.40588364005088806,0.8647260069847107,0.8632001280784607,0.7230769395828247,0.9473302960395813,0.7300613522529602,0.7300613496932515,0.7300613496932515,0.7300613496932515,0.5590761577603683,0.5738463583200425,0.5559470604583386,0.7009071364899586,0.7300613496932515,0.7053970123853421,1,500,300,cosine,0.001,0.99,dicta-il/BEREL,tfidf,6594
26,0.5132438540458679,0.8458904027938843,0.8044950366020203,0.7692307829856873,0.9743130803108215,0.7300613522529602,0.7300613496932515,0.7300613496932515,0.7300613496932515,0.707812920731581,0.6278512569302044,0.6382046025725103,0.7646656611784155,0.7300613496932515,0.7260656857526931,3,500,300,cosine,0.001,0.99,onlplab/alephbert-base,tfidf & trigram & BOW-n_gram,6594
33,0.4100140333175659,0.8715753555297852,0.850468635559082,0.7538461685180664,0.9005077481269836,0.7239263653755188,0.7239263803680982,0.7239263803680982,0.7239263803680982,0.5984370427552247,0.6074105718842561,0.5876455631896981,0.6751000703454693,0.7239263803680982,0.6861491958161197,2,500,300,cosine,0.001,0.99,dicta-il/BEREL,trigram & BOW-n_gram,6594
40,0.413726270198822,0.8613013625144958,0.8245007991790771,0.6769230961799622,0.9075318574905396,0.7239263653755188,0.7239263803680982,0.7239263803680982,0.7239263803680982,0.5423166041826328,0.57100782258677,0.5468821605549293,0.6826547685443392,0.7239263803680982,0.6941944963358394,1,500,300,cosine,0.001,0.99,yonatanlou/BEREL-finetuned-DSS-maskedLM,tfidf,6594
32,0.4248660206794739,0.8715753555297852,0.9523611068725586,0.7230769395828247,0.9163253903388977,0.7177914381027222,0.7177914110429447,0.7177914110429447,0.7177914110429446,0.6008511114489375,0.5998348143084985,0.5859399246030262,0.6764825890892843,0.7177914110429447,0.6839582082779484,1,500,300,cosine,0.001,0.99,dicta-il/BEREL,trigram,6594
46,0.4712342619895935,0.857876718044281,0.9629054069519043,0.7076923251152039,0.9514621496200562,0.7116564512252808,0.7116564417177914,0.7116564417177914,0.7116564417177914,0.6381921461336897,0.6406844763423712,0.6306460731312968,0.6965331592032046,0.7116564417177914,0.698197685743508,4,500,300,cosine,0.001,0.99,onlplab/alephbert-base,tfidf & trigram & BOW-n_gram & topic_modeling_lda,6594
32,0.428096204996109,0.8698630332946777,0.9535055160522461,0.7230769395828247,0.9152272343635559,0.7116564512252808,0.7116564417177914,0.7116564417177914,0.7116564417177914,0.5900917319395581,0.5947843092579934,0.5790968131819096,0.6649466556975225,0.7116564417177914,0.676463713013852,2,500,300,cosine,0.001,0.99,dicta-il/BEREL,tfidf & trigram,6594
34,0.38390684127807617,0.8784246444702148,0.879255473613739,0.7538461685180664,0.8670225739479065,0.7116564512252808,0.7116564417177914,0.7116564417177914,0.7116564417177914,0.6117960322505778,0.5799477861319966,0.5778819015784685,0.6836848563842429,0.7116564417177914,0.6840092426308365,3,500,300,cosine,0.001,0.99,dicta-il/BEREL,tfidf & trigram & BOW-n_gram,6594
50,0.5483112335205078,0.8219178318977356,1.022542119026184,0.6153846383094788,1.040379524230957,0.7055214643478394,0.7055214723926381,0.7055214723926381,0.7055214723926381,0.5723670795607554,0.5669976076555024,0.5592198989208558,0.6707374447371781,0.7055214723926381,0.680434354150854,4,500,300,cosine,0.001,0.99,yonatanlou/BEREL-finetuned-DSS-maskedLM,tfidf & trigram & topic_modeling_lda & topic_modeling_nmf,6594
29,0.4910835325717926,0.8476027250289917,0.7798492908477783,0.6769230961799622,1.0472420454025269,0.6932515501976013,0.6932515337423313,0.6932515337423313,0.6932515337423313,0.5145180799592565,0.5472465254044202,0.5215563642768017,0.658155470777268,0.6932515337423313,0.6666721169880908,1,500,300,cosine,0.001,0.99,onlplab/alephbert-base,tfidf,6594
24,0.5772850513458252,0.8287671208381653,0.7999827861785889,0.7846153974533081,1.0117634534835815,0.6932515501976013,0.6932515337423313,0.6932515337423313,0.6932515337423313,0.6340513022331205,0.571639135718083,0.5701588924909081,0.706492757413003,0.6932515337423313,0.6676102949242453,2,500,300,cosine,0.001,0.99,onlplab/alephbert-base,trigram & BOW-n_gram,6594
11,0.5948657393455505,0.7979452013969421,0.8326065540313721,0.6769230961799622,1.174747347831726,0.6871165633201599,0.6871165644171779,0.6871165644171779,0.6871165644171779,0.5188367125884716,0.5185211133895344,0.49330555610129084,0.6606868291097812,0.6871165644171779,0.655186374988143,1,500,300,cosine,0.001,0.99,yonatanlou/BEREL-finetuned-DSS-composition-classification,tfidf,6594
23,0.5947661399841309,0.8270547986030579,0.8605408668518066,0.7692307829856873,1.026518702507019,0.6871165633201599,0.6871165644171779,0.6871165644171779,0.6871165644171779,0.6274987638624003,0.5621694387483861,0.5510771728465288,0.713108432126837,0.6871165644171779,0.6584173996635361,1,500,300,cosine,0.001,0.99,onlplab/alephbert-base,trigram,6594
23,0.5979328751564026,0.8304794430732727,0.8623178601264954,0.7692307829856873,1.0226037502288818,0.6871165633201599,0.6871165644171779,0.6871165644171779,0.6871165644171779,0.631768736314191,0.5621694387483861,0.5536745754439314,0.711714120916575,0.6871165644171779,0.6578331168706643,2,500,300,cosine,0.001,0.99,onlplab/alephbert-base,tfidf & trigram,6594
55,0.45130017399787903,0.8390411138534546,1.179034948348999,0.6461538672447205,1.1771979331970215,0.6871165633201599,0.6871165644171779,0.6871165644171779,0.6871165644171779,0.6301442229784475,0.6159538999012683,0.6014509445355268,0.6925437470024262,0.6871165644171779,0.6729336072225028,4,500,300,cosine,0.001,0.99,dicta-il/BEREL,tfidf & BOW-n_gram & topic_modeling_lda & topic_modeling_nmf,6594
