edge_name,weight
רֶבֵע (-) ןֵּדְרַי,10
ךֶרֶּד (-) רַה,1
ךֶרֶּד (-) ריִעֵש,1
ןֵּב (-) לֵאָרְשִי,19
ְךֶלֶמ (-) יִרִמֱא,1
ְךֶלֶמ (-) ןָשָּב,8
ץֶרֶא (-) בָאֹומ,4
רַה (-) יִרֹמֱא,1
ףֹוח (-) םָי,1
ץֶרֶא (-) יִנְעַנְּכ,2
רָהָנ (-) תָרְּפ,2
בָכֹוּכ (-) םִיַמָׁש,1
םיִהֹלֱא (-) בָא,8
שאֹר (-) טֶבֶש,2
רַש (-) ףֶלֶא,1
רַש (-) הָאֵמ,1
רַש (-) םיִּשִמֲח,1
ְךֶרֶּד (-) רַה,1
ְךֶרֶּד (-) יִרֹמֱא,1
רַה (-) יִרֹמֶא,1
לַחַנ (-) לֹּכְשֶא,1
יִרְּפ (-) ץֶרֶא,1
הֶּפ (-) הָוֹהְי,2
הָאְנִש (-) הָוֹהְי,1
ץֶרֶא (-) םִיַרְצִמ,22
דָי (-) יִרֹמֱא,2
ןֵּב (-) קָנֲע,1
לֹוק (-) רָבָּד,3
ְךֶרֶּד (-) םָי,2
ְךֶרֶּד (-) ףּוס,2
יִלְּכ (-) הָמָחְלִמ,1
רַה (-) ריִעֵש,2
לּובְּג (-) חָא,1
ןֵּב (-) וָשֵע,5
ְךָרְדִמ (-) ףַּכ,1
ְךָרְדִמ (-) לֶגֶר,1
הֶשֲעַמ (-) דָי,18
ְךֶרֶּד (-) הָבָרֲע,1
ְךֶרֶּד (-) רָּבְדִמ,1
ְךֶרֶּד (-) בָאֹומ,1
ןֵּב (-) טֹול,3
ץֶרֶא (-) הָּשֻרְי,1
לַחַנ (-) דֶרֶז,2
שיִא (-) הָמָחְלִמ,2
דָי (-) הָוֹהְי,3
לּובְּג (-) בָאֹומ,1
ןֵּב (-) ןֹוּמַע,1
ץֶרֶא (-) ןֵּב,2
ץֶרֶא (-) ןִוּמַע,1
ץֶרֶא (-) םיִאָפְר,2
רָּבְדִמ (-) תֹומֵדְק,1
ְךֶלֶמ (-) ןֹוּבְשֶח,4
רָבָּד (-) םֹולָש,1
לָלְש (-) ריִע,1
הָפָש (-) לַחַנ,1
הָפָש (-) ןֹונְרַא,1
ץֶרֶא (-) ןֹוּמַע,1
דָי (-) לַחַנ,1
דָי (-) קֹבָי,1
ריִע (-) רַה,1
ְךֶרֶּד (-) ןָשָּב,1
ְךֶלֶמ (-) יִרֹמֱא,6
לֶבֶח (-) בֹּגְרַא,3
הָכָלְמַמ (-) גֹוע,2
ריִע (-) יִזָרְּפ,1
לָלָש (-) ריִע,1
דָי (-) ְךֶלֶמ,1
