property,bible,scrolls
total_words,43025,16470
construct_count,2769,1527
percent,0.06435793143521208,0.09271402550091075
unique_regen,790,443
total_regen,2769,1527
unique_rectum,751,407
total_rectum,2940,1633
NoGCPh,0.00037187681580476466,0.0006678809957498482
NoGRec,0.007321324811156304,0.0024893746205221614
NoGReg,0.0006042998256827425,0.0006678809957498482
Quantmid,0.0006507844276583382,0.001032179720704311
Quantpre,0.003393375944218478,0.00947176684881603
Affpron,0.01327135386403254,0.01742562234365513
Affconj,0.008669378268448576,0.02185792349726776
Affprep,0.01966298663567693,0.041530054644808745
RecpartPas,0.00023242300987797793,0.0018822100789313903
Recpartpf,0.00011621150493898897,6.071645415907711e-05
Recpartpm,0.0006042998256827425,0.0007285974499089253
Recpartsf,0.00013945380592678675,0.00030358227079538557
Recpartsm,0.0005113306217315514,0.0021250758955676987
RegpartPas,0.0005345729227193493,0.0007285974499089253
Regpartpf,0.0,0.00018214936247723133
Regpm,0.003021499128413713,0.004189435336976321
Regsf,0.0003486345148169669,6.071645415907711e-05
Regsm,0.001324811156304474,0.0006071645415907711
