node_name,regen,rectum,regen/total
עֵבֶר,2,0,1.0
יַרְדֵּן,0,1,0.0
דֶּרֶך,3,0,1.0
הַר,21,9,0.7
שֵעִיר,0,2,0.0
בֵּן,44,16,0.7333333333333333
יִשְרָאֵל,0,23,0.0
מֶלֶךְ,14,18,0.4375
אֱמִרִי,0,1,0.0
בָּשָן,0,5,0.0
אֶרֶץ,39,38,0.5064935064935064
מוֹאָב,0,4,0.0
אֱמֹרִי,0,4,0.0
חוֹף,1,0,1.0
יָם,3,14,0.17647058823529413
כְּנַעְנִי,0,1,0.0
נָהָר,4,0,1.0
פְּרָת,0,1,0.0
כּוֹכָב,3,0,1.0
שָׁמַיִם,0,1,0.0
אֱלֹהִים,18,38,0.32142857142857145
אָב,4,15,0.21052631578947367
רֹאש,20,6,0.7692307692307693
שֶבֶט,10,2,0.8333333333333334
שַר,7,0,1.0
אֶלֶף,0,3,0.0
מֵאָה,0,2,0.0
חֲמִשִּים,0,1,0.0
דֶּרֶךְ,46,11,0.8070175438596491
אֶמֹרִי,0,1,0.0
נַחַל,4,4,0.5
אֶשְכֹּל,0,1,0.0
פְּרִי,3,0,1.0
פֶּה,11,15,0.4230769230769231
יְהֹוָה,0,71,0.0
שִנְאָה,2,1,0.6666666666666666
מִצְרַיִם,0,8,0.0
יָד,29,16,0.6444444444444445
בֵּן,2,1,0.6666666666666666
עֲנָק,0,2,0.0
קוֹל,22,0,1.0
דָּבָר,35,7,0.8333333333333334
סוּף,0,4,0.0
כְּלִי,6,0,1.0
מִלְחָמָה,0,4,0.0
גְּבוּל,11,0,1.0
אָח,1,9,0.1
עֵשָו,0,1,0.0
מִדְרָךְ,2,0,1.0
כַּף,6,8,0.42857142857142855
רֶגֶל,1,5,0.16666666666666666
מַעֲשֶה,5,1,0.8333333333333334
עֲרָבָה,1,2,0.3333333333333333
מִדְבָּר,4,3,0.5714285714285714
לוֹט,0,1,0.0
יְרֻשָּה,2,1,0.6666666666666666
זֶרֶד,0,1,0.0
אִיש,40,15,0.7272727272727273
עַמּוֹן,0,4,0.0
עַמּוִן,0,1,0.0
רְפָאִים,0,3,0.0
קְדֵמוֹת,0,1,0.0
חֶשְבּוֹן,0,1,0.0
שָלוֹם,2,6,0.25
שְלָל,1,0,1.0
עִיר,16,7,0.6956521739130435
שָפָה,16,14,0.5333333333333333
אַרְנוֹן,0,2,0.0
יָבֹק,0,1,0.0
חֶבֶל,6,0,1.0
אַרְגֹּב,0,1,0.0
מַמְלָכָה,3,2,0.6
עוֹג,0,2,0.0
פְּרָזִי,0,1,0.0
שָלָל,2,0,1.0
חֶרְמוֹן,0,3,0.0
מישוֹר,0,2,0.0
יֶתֶר,3,1,0.75
עֶרֶש,3,0,1.0
בַּרְזֵל,0,7,0.0
אַמָּה,1,1,0.5
גִּלְעָד,0,2,0.0
מְנַשֶּה,0,2,0.0
גְּשוּרִי,0,1,0.0
חַוָּה,1,0,1.0
יָאִיר,0,1,0.0
מֶלַח,0,2,0.0
אֲשֵדָה,1,0,1.0
פִּסְגָּה,0,2,0.0
חַיִל,2,6,0.25
בַּיִת,14,11,0.56
פְּעוֹר,0,1,0.0
מִצְוָה,3,4,0.42857142857142855
עַיִן,17,10,0.6296296296296297
עַם,4,23,0.14814814814814814
יוֹם,36,8,0.8181818181818182
חַיִּים,0,11,0.0
לֵב,17,30,0.3617021276595745
