node_name,degree
רֶפֵס,5
ְךֶרֶס,4
דַחַי,49
דָי,26
הֶשֹמ,7
הֶשֲעַמ,42
בֹוט,3
תּוריִרְש,5
בֵל,36
הָמְשַא,15
ןִיַע,7
תּונְז,2
קֹח,12
לֵא,54
תיִרְּב,26
דֶסֶח,24
הָצֵע,39
דֵעֹומ,21
הָדּועְּת,4
ןֵּב,77
רֹוא,22
ְךֶשֹח,12
הָמָקְנ,1
םֹּת,7
ְךֶרֶּד,45
קֶדֶצ,31
רָבָּד,13
תֶמֱא,71
ףֵרְצַמ,3
יּוּסִנ,1
הָלָשְמֶמ,13
לָעָיִלְּב,10
הָעּושְי,3
הָקָדְצ,10
הָרּובְּג,14
םיִמֲחַר,20
ןֹוָע,11
לֵאָרְשִי,9
עָשֶּפ,2
תאַּטַח,4
שיִא,79
לָרֹוּג,8
לֶכֶש,8
םיִּיַח,8
תַעַּד,17
םָלֹוע,78
הֶנָּפ,8
םֹולָש,15
לָׁרֹוּג,1
עַשֶר,7
םֵקֹנ,1
םָקָנ,3
םֵּלַשְמ,1
לּומְּג,1
הָלֵפֲא,2
שֵא,4
ףַא,12
הֶּפ,15
זֶחֹא,1
בָא,9
לּוּלִּג,1
לֹושְכִמ,6
ןֶוָע,4
הָאְנִק,11
טָּפְשִמ,49
הָלָּכ,3
הָלָא,2
רּורָא,1
אָּב,2
םֹוי,22
הָעֵּד,8
תִיַּב,9
דָמֲעַמ,5
םֹוקָמ,1
הָוָנֲע,4
הָבֲהַא,5
הָבָשֲחַמ,15
שֶדֹק,62
דֹוס,38
רֹוּסִי,1
ןֹואָס,1
רֹותָמ,2
םיִמָּת,9
םִיַמ,21
הָּדִנ,11
ץַחַר,1
סֹאְמ,1
ַחּור,75
הצע,1
םיִּיַח,4
חּור,2
רֶשֹי,2
שֶפֶנ,19
יִכֹוּד,1
רּוּפִּכ,1
חֹוחינ,1
תֹודְלֹוּת,6
ןיִמ,1
הָּדֻקְּפ,5
עַגֶנ,8
ץֵק,24
דֹובָּכ,31
לֹּכ,10
לֵבֵּת,1
הָּדֻּקְּפ,1
לֶוָע,14
ןֹועָמ,9
רֹוקָמ,18
רַש,5
ְךָאְלַמ,9
תּועָּת,5
ןֵּב,3
עַשֶּפ,10
זָר,46
הָרָצ,6
הָמֵטְשַמ,1
דֵע,5
ְךֶרֹא,5
בֹר,39
הָמְכָח,13
הָרֳהָט,10
לּולִּג,1
הָמְרָע,4
תַעַּד,1
הָכָרְּב,1
דַע,14
הָחְמִש,9
חצֶַנ,1
ליִלָּכ,1
הָּדִמ,5
רָדָה,4
בֹוחְר,2
הָדֹובֲע,12
םּור,5
בָבֵל,6
ףֶנֹח,1
רּוצָק,1
תֶלֶּוִא,2
ןֹודָז,2
הָבֵעֹוּת,7
הָאְמֻט,1
ןֹושָל,10
ףּוּדִּג,1
ןֹורָּוִע,1
ןֶזֹא,5
יִשֹק,2
ףֶרֹע,3
דּוּביִּכ,1
ַעֹר,2
לֶבֶח,6
תַחַש,9
הָרְבֶע,2
הָוֲעַז,1
חַצֶנ,9
הָּפְרֶח,1
הָּמִלְּכ,1
הָלָּכ,1
ְךָשְחַמ,1
לֶבֵא,3
ןֹוגָי,3
הָעָר,1
רֹורָמ,5
הָיָוֲה,2
הָּלֻעְּפ,2
הָביֵא,1
הָלְוַע,16
ביִר,8
לֶבֵּת,2
רֶבֶּג,5
םיִמָכְּת,2
רָשָּב,21
הָליִלֲע,3
הָעְשִר,19
רֶקֶש,4
ןֹויְלֶע,1
םִיַמָש,10
םָדָא,22
הָּיִמְר,9
הָלֲחַנ,9
הָדֵע,28
קֹודָצ,6
רֵמֹש,5
ןּוּכִּת,11
תּורִרְש,5
רֶצֶי,4
הָלְרָע,2
דָסֹומ,4
רֵבֹע,4
בֵּדַנְתִמ,1
הָעּובְש,2
רָּסִא,1
הָרֹוּת,6
רֶמֹש,2
שֵרֹּד,6
ןֹוצָר,13
לֶבֶה,2
ץֵאַנְמ,1
ןֹרֲהַא,5
ןֵהֹּכ,1
תיִשאֵר,17
םֶחֶל,6
שֹוריִּת,3
הָלְיַל,4
הָנָש,9
בָשֹומ,9
בַר,19
ַעֵר,3
ץֶפֵח,1
שאֹר,20
ןֹוה,6
הָכאָלְמ,1
הֶקְשַמ,3
שָרְדִמ,2
רֶצֹק,1
דֹוסֶי,1
תיִמָע,1
דֹוסְי,8
הֶשֹע,1
תֵע,10
תַעַּטַמ,5
ריִחָּב,6
הָמֹוח,3
ןַחֹּב,2
הָנִּפ,1
רָקָי,1
תַעַד,4
ַחיֵר,1
ַחֹוחיִנ,2
הָּקֻח,2
הָאְרִי,1
לַעַמ,4
הָלֹע,1
בֶלֵח,1
חַבֶז,1
הָמּורְּת,4
הָפָש,16
הָבָדְנ,2
הָחְנִמ,1
ַחיִשָמ,4
לָקְשִמ,5
רֹוּב,1
ףַּכ,4
תָחָש,1
אֶלֶּפ,21
ןּוּכִּת,1
הָאְנִש,1
רֶתֵס,1
לָמָע,1
ַחֹולְשִמ,3
רֶמֵא,1
רּומְשַא,1
לֻבְז,2
אֹובָמ,5
שֶדֹח,1
חָּתְפִמ,1
ַחֵרָי,1
הָפּוקְּת,5
ריִצָק,1
עַרֶז,1
אֶשֶּד,1
ַעּובָש,1
רֹורְּד,1
יִרְּפ,8
הָּלִהְּת,2
הָנָמ,1
רֹוּנִּכ,4
לֶבֵנ,1
ליִלָח,2
וַק,4
אָצֹומ,7
בֶרֶע,1
רֶקֹּב,1
בּוט,7
תֶרֶאְפִּת,1
לֶגֶר,4
ְךֵרְבַא,1
בָּכְשִמ,2
ַעּוצְי,1
תֶכֶרֲעַמ,1
ןֶדֶע,4
הָבּונְּת,2
דַחַּפ,4
הָמיֵא,1
ןֹוכָמ,5
יַח,2
סָמָָח,1
בָש,4
רֵרֹס,1
שַחַּכ,1
הָּיִשּוּת,1
טָּפְשִמ,1
זֹע,10
הֶעֹּת,2
הָניִּב,9
םָר,1
הֶּטַמ,1
חֵלֹש,1
עַּבְצֶא,1
רֵּבַדְמ,1
ןֶוָא,3
הֶנְקַמ,1
רושי,1
הָרֹוא,1
הֶיְהִנ,4
ןָעְשִמ,1
ןיִמָי,4
עַלֶס,4
םַעַּפ,2
תֶנֶעְשִמ,1
הָּמִזְמ,4
הֶוְקִמ,4
ןָיְעַמ,7
הָּזֻחֲא,3
לָרֹוג,1
תיִנְבַמ,2
היוענ,2
הָּמִר,1
שֹונֱא,14
דֶבֶע,13
קֶמֶע,1
חֹּכ,4
הָּמִר,1
תיִרֲחַא,1
םַע,7
אָבָצ,12
יּוגָה,2
םיִרְשֶע,2
רָכָז,1
עמשמ,1
שֵמָח,1
םיִשֹולְש,1
הָאֵמ,1
םיִּשִמֲח,1
יִתֶּפ,1
סַמ,1
יִוֵל,1
רָּפְסִמ,4
הָמָחְלִמ,12
לִיַח,2
ףֶלֶא,1
תֶקֹלְחַמ,1
םֵש,5
איִרָק,1
שֵדֹק,2
ןָחְלֻש,1
הָלְפִש,1
רַה,2
הֶנֲעַמ,6
ְךֹרָא,3
ַחֹּכ,7
רֶקֵח,1
םֶדֶק,3
עַר,1
ַעיִקָר,2
היהנ,21
דּולָי,2
הָּשִא,4
הֶנְבִמ,3
רָפָע,12
לָּבְגִמ,3
הָוְרֶע,4
ןֹולָק,2
שֵּקַבְמ,1
בֵהֹא,2
וָנָע,2
קָּקֻזְמ,1
יִנָע,4
רּורָּב,1
רֹוּד,4
ןֹוזָח,3
לֵעֹּפ,1
ֹדֹוס,1
לֹודָּג,5
ףָנָּכ,2
ןֹומָה,16
הָגֵרֲה,1
אֹלְמ,2
ץֶרֶא,6
הָּיִליִלֲע,1
קיִדָצ,1
הָוְצִמ,2
רָצֹוא,1
רֹוד,1
רֶצֵי,31
רָמֵח,12
רּוּכ,6
הָאָּטַח,1
הָעֹוּת,1
תֶרֶח,1
ןֹורָּכִז,4
