node_name,regen,rectum,regen/total
סֵפֶר,4,0,1.0
סֶרֶךְ,3,1,0.75
יַחַד,5,15,0.25
יָד,12,5,0.7058823529411770
מֹשֶה,0,2,0.0
מַעֲשֶה,21,10,0.6774193548387100
טוֹב,1,2,0.3333333333333330
שְרִירוּת,2,1,0.6666666666666670
לֵב,4,16,0.2
אַשְמָה,5,7,0.4166666666666670
עַיִן,5,1,0.8333333333333330
זְנוּת,0,2,0.0
חֹק,6,2,0.75
אֵל,8,26,0.23529411764705900
בְּרִית,6,12,0.3333333333333330
חֶסֶד,3,10,0.23076923076923100
עֵצָה,10,5,0.6666666666666670
מוֹעֵד,14,5,0.7368421052631580
תְּעוּדָה,2,1,0.6666666666666670
בֵּן,24,9,0.7272727272727270
אוֹר,4,11,0.26666666666666700
חֹשֶךְ,0,10,0.0
נְקָמָה,1,0,1.0
תֹּם,1,0,1.0
דֶּרֶךְ,17,8,0.68
צֶדֶק,0,22,0.0
דָּבָר,5,5,0.5
אֱמֶת,3,34,0.08108108108108110
מַצְרֵף,1,2,0.3333333333333330
נִסּוּי,0,1,0.0
מֶמְשָלָה,8,3,0.7272727272727270
בְּלִיָעָל,0,8,0.0
יְשוּעָה,1,2,0.3333333333333330
צְדָקָה,2,3,0.4
גְּבוּרָה,3,9,0.25
רַחֲמִים,3,6,0.3333333333333330
עָוֹן,7,3,0.7
יִשְרָאֵל,0,5,0.0
פֶּשָע,2,0,1.0
חַטַּאת,2,2,0.5
אִיש,31,22,0.5849056603773590
גּוֹרָל,3,5,0.375
שֶכֶל,3,3,0.5
חַיִּים,2,6,0.25
דַּעַת,5,9,0.35714285714285700
עוֹלָם,2,47,0.04081632653061220
פָּנֶה,4,4,0.5
שָלוֹם,2,8,0.2
גּוֹרָׁל,0,1,0.0
רֶשַע,0,7,0.0
נֹקֵם,1,0,1.0
נָקָם,0,2,0.0
מְשַלֵּם,1,0,1.0
גְּמוּל,0,1,0.0
אֲפֵלָה,2,0,1.0
אֵש,1,3,0.25
אַף,2,6,0.25
פֶּה,10,3,0.7692307692307690
אֹחֶז,0,1,0.0
אָב,0,5,0.0
גִּלּוּל,1,0,1.0
מִכְשוֹל,2,3,0.4
עָוֶן,0,4,0.0
קִנְאָה,8,1,0.8888888888888890
מִשְפָּט,19,12,0.6129032258064520
כָּלָה,1,1,0.5
אָלָה,1,0,1.0
אָרוּר,1,0,1.0
בָּא,1,0,1.0
יוֹם,12,5,0.7058823529411770
