property,bible,scrolls
count,2770,1527
regen,794,444
rectum,757,408
NoGCPh,0.002527075812274368,0.0
NoGRec,0.11155234657039712,0.034053700065487885
NoGReg,0.0068592057761732855,0.0
Quantmid,0.009747292418772563,0.010478061558611657
Quantpre,0.05451263537906137,0.10019646365422397
Affpron,0.20252707581227436,0.1859855926653569
Affconj,0.13212996389891696,0.2337917485265226
Affprep,0.30288808664259925,0.4492468893254748
RecpartPas,0.003249097472924188,0.015062213490504257
Recpartpf,0.0018050541516245488,0.0006548788474132286
Recpartpm,0.007942238267148015,0.007858546168958742
Recpartsf,0.0021660649819494585,0.003929273084479371
Recpartsm,0.0068592057761732855,0.0183366077275704
RegpartPas,0.008303249097472924,0.006548788474132285
Regpartpf,0.0,0.0013097576948264572
Regpm,0.04693140794223827,0.04387688277668631
Regsf,0.005415162454873646,0.0006548788474132286
Regsm,0.020577617328519857,0.005893909626719057
